Subject,Object
EC 04405-3211,0.628
V* V346 Tau,7.797
V* AA Cnc,24.1062
V* V397 Vir,0.0329
V* AN CrB,32.6261
2QZ J133326.9-021616,0.7304
[DCD2013] CSS J132745.4+054157,0.517
[DCD2013] CSS J132820.0+060507,0.7202
EC 21381-2841,3.6378
HD 96064,38.1125
EC 22212-5915,0.3857
KIC 6445601,0.4163
Gliese 174,75.5395
V* GN Sge,2.2734
2MASS J06310608+0457529,0.5042
EC 21281-5010,0.6586
PGC 66558,1.6296
LP 229-30,69.4569
G 29-69,31.1699
39 Ceti,13.4527
UGC 7942,1.0313
ESO 488-60,0.4742
GUVV J120642.5-075909.1,0.6549
EC 04386-5049,1.0535
G 75-30,43.5106
2MASS J21402588+5815262,1.0444
V* VW CMa,0.6386
TYC 4479-446-1,1.5041
ESO 268-34,1.0997
ESO 268-34,1.0997
TYC 3002-501-1,0.7289
R Pegasi,2.83
PGC 62346,0.2712
PGC 62346,0.2712
NGC 2547,2.5438
PGC 69307,0.2578
EC 21292-5934,0.8036
TYC 4687-2279-1,1.2466
[DCD2013] CSS J130408.0+073718,0.1347
GUVV J225334.9-394830.4,0.1704
ESO 323-18,0.1772
ESO 323-18,0.1772
[DCD2013] CSS J122638.1+093409,0.1838
2MASS J18314638-0210403,0.9917
V* EV Vul,0.408
V* QU CMa,0.51
U Herculis,1.7491
U Herculis,1.7491
R Hydrae,4.4682
R Hydrae,4.4682
[DCD2013] CSS J131216.4+042216,0.4465
EC 01404-6752,0.4046
2MASS J07323341+7241408,9.0455
GUVV J142627.0+321540.7,0.2044
39 Draconis,17.71
GUVV J052337.8-485917.4,1.3499
[DCD2013] CSS J134844.7+010227,0.0917
G 115-42,99.1286
50 Librae,7.2493
Gliese 208,87.4367
ESO 428-28,0.0467
V* CW UMa,74.8614
GUVV J154603.5-125117.5,0.1501
89 Herculis,0.6893
HD 285497,0.6979
2MASS J06302940+0504123,0.8876
U Orionis,4.6232
U Orionis,4.6232
Iota2 Librae,11.5381
NGC 6793,1.6672
NGC 2232,3.071
PGC 58501,1.6999
9 Persei,0.7603
HD 14433,0.3525
BD-00 2299,1.0598
IK Tauri,3.5114
IK Tauri,3.5114
BD-04 3421,1.6791
TYC 1609-1518-1,17.6477
3C 371,3.1
Wolf 1494,61.1599
EC 21044-3149,0.8473
BD+08 102,13.6306
UGC 3580,2.6297
KIC 7819024,0.535
HD 208313,49.0224
2MASS J20431402+1536021,0.8526
49 Librae,34.2281
PGC 57093,1.1992
EC 21306-4911,0.7673
GUVV J004033.8-445936.9,0.1068
LGGS J013401.91+303819.3,0.0268
EC 23317-7354,0.9589
[NM2011] J013356.33+303420.8,0.4692
VB 10,168.962
[DCD2013] CSS J134315.7+094544,0.2457
ESO 427-34,1.2181
CL Cam,6.1024
G 210-2,46.2
V* QW Tau,7.35
S Serpentis,3.17
DS Crucis,0.3041
V4381 Sagittarii,0.5674
V4381 Sagittarii,0.5674
2MASS J17532059+2516492,0.5616
G 253-6,76.3524
[DCD2013] CSS J135822.4-024448,0.2617
IRC+10420,0.5824
PGC 55844,0.2482
PGC 55844,0.2482
EC 04185-2212,1.2507
6 Draconis,7.5358
HD 352059,0.6278
[HS80] B182,0.2686
Ross 776,49.2145
LP 275-68,58.8819
TYC 1601-1491-1,1.3856
[DCD2013] CSS J131106.8-030007,0.0131
G 68-5,60.6055
Nu Arietis,11.7251
[DCD2013] CSS J133849.5+084607,0.0314
V* CG Phe,5.186
V* V423 Tau,1.7781
SDSS J122114.17+090338.5,0.1004
NGC 7213,0.8341
V* WZ Sex,2.0611
EC 21171-1658,0.9619
G 130-68,51.8335
GUVV J064856.6-360215.8,0.2216
L 1159-16,223.6349
HD 23089,3.4
V* PS Tau,6.4748
[NM2011] J013326.60+303550.3,0.4859
[MLF2014] 335837,0.6434
LP 98-79,100.293
TYC 5127-2055-1,1.3519
AB Aurigae,6.14
[MLF2014] 138261,0.1892
V* V857 Cen,93.0715
EC 21366-3514,0.8296
R Dra,1.5101
LP 625-34,88.7193
DY Leo,22.7076
V* MM Tau,7.276
G 169-29,95.5605
EC 21521-5752,0.9286
LP 377-100,44.0681
UGC 7129,1.1415
UGC 7129,1.1415
UGC 8053,2.3166
28 Librae,5.8876
BD-16 248,2.2528
V* EW Dra,92.8976
PGC 62702,0.1399
[CBC2012] Obj6,0.1462
Messier 61,0.7805
Messier 61,0.7805
IC 756,0.0626
16 Camelopardalis,9.3655
CSIMon-007536,1.338
BD+67 1030,0.5472
ESO 572-49,0.2019
ESO 572-49,0.2019
