Subject,Object
"Dětský domov se školou, SVP a ZŠ","Ministry of Education, Youth and Sports"
"Dětský domov se školou, ZŠ a ŠJ","Ministry of Education, Youth and Sports"
"Dětský domov se školou, ZŠ a ŠJ","Ministry of Education, Youth and Sports"
Citibank,Citigroup
Manga Entertainment,Funimation
Banca Fideuram,Intesa Sanpaolo
Institut Charles Sadron,University of Strasbourg
Immune Response and Development in Insects,University of Strasbourg
Immunopathologie et Chimie Thérapeutique,University of Strasbourg
Fraunhofer Institute for Solar Energy Systems ISE,Fraunhofer Society
Fraunhofer Institute for Production Technology,Fraunhofer Society
Fraunhofer Institute for Material Flow and Logistics,Fraunhofer Society
Fraunhofer Institute for Laser Technology,Fraunhofer Society
Warner Independent Pictures,Warner Bros.
ABSA Cargo Airline,LATAM Brasil
Department of the Public Actuary,Government of South Australia
Superannuation Department,Government of South Australia
Chief Secretary's Office,Government of South Australia
Crown Law Department,Government of South Australia
ABX Air,Air Transport Services Group
DHL Air UK,DHL
European Air Transport,DHL
European Air Transport Leipzig,DHL
Itaú Unibanco,Itaúsa
AirBridgeCargo Airlines,Volga-Dnepr Airlines
SEB Pank,SEB Group
N M Rothschild & Sons,Rothschild & Co
Lille University of Health and Law,Lille North of France University
Charles de Gaulle University of humanities arts and social sciences,Lille Nord de France University
Lille University of Health and Law,Lille Nord de France University
Laboratory for Analysis and Architecture of Systems,University of Toulouse (1896-1969)
"Dětský domov, základní škola a ŠJ",Hradec Králové Region
EgyptAir Cargo,EgyptAir
Paris-Sorbonne University - Paris IV,Sorbonne Universities
University of Paris VI: Pierre-and-Marie-Curie University,Sorbonne Universities
Institut de Chimie des Substances Naturelles,National Center for Scientific Research
Grand Accélérateur National d'Ions Lourds,National Center for Scientific Research
Laboratory of Theoretical Biochemistry,National Center for Scientific Research
Société nouvelle de distribution,M6 Group
University of Bordeaux 1,PRES University of Bordeaux
Santander Brasil,Santander
Gazprombank,Gazprom
University of Nice Sophia-Antipolis,University Côte d'Azur (ComUE)
Komerční banka,Society General
CBS Films,CBS Corporation
The Master Trust Bank of Japan,Mitsubishi UFJ Financial Group
MUFG Bank,Mitsubishi UFJ Financial Group
LATAM Cargo Chile,LATAM Airlines Group
New World Pictures,News Corporation
The Cannon Group,Metro-Goldwyn-Mayer
The Cannon Group,Metro-Goldwyn-Mayer
Atlantic Entertainment Group,Atlantic Recording Corporation
Silk Way West Airlines,Silk Way Airline
Qantas Freight,Qantas
Institut d'histoire du temps présent,Institute of Human and Social Sciences
Popular Bank of Milan,BPM Bank
