Subject,Object
antimony-107,1
antimony-118,1
antimony-110,1
lead-182,1
lead-180,1
praseodymium-133,1
praseodymium-131,1
osmium-184,1
osmium-183,1
osmium-182,1
osmium-180,1
osmium-178,1
germanium-77,1
germanium-78,1
rubidium-80,1
cerium-124,1
cerium-142,1
cerium-137,1
gold-205,1
gold-203,1
gold-201,1
bismuth-202,1
bismuth-196,1
iron-66,1
iron-64,1
iron-62,1
iron-50,1
lead-200,1
lead-198,1
lead-196,1
xenon-127,1
xenon-112,1
xenon-116,1
xenon-113,1
francium-212,1
francium-210,1
francium-208,1
francium-206,1
