Subject,Object
Art Looting Investigation Unit,"OSS Art Looting Investigation Unit Reports, 1945-46"
ALIU Final Report,"OSS Art Looting Investigation Unit Reports, 1945-46"
The Mummy,The Mummy
The Adventures of Chip 'n' Dale,Walt Disney Presents
2019 IEEE International Conference on Big Data,IEEE International Conference on Big Data
Berts ytterligare betraktelser,Bert Diaries
Berts vidare betraktelser,Bert Diaries
Berts första betraktelser,Bert Diaries
Berts dagbok,Bert Diaries
Berts bryderier,Bert Diaries
Berts bravader,Bert Diaries
Berts bokslut,Bert Diaries
Berts bekännelser,Bert Diaries
Berts bekymmer,Bert Diaries
Berts befrielse,Bert Diaries
Bert och ryska invasionen,Bert Diaries
Bert och kalla kriget,Bert Diaries
Bert och friheten,Bert Diaries
Bert och datadejten,Bert Diaries
Bert och beundrarinnorna,Bert Diaries
Nikon Coolpix P900,Nikon Coolpix series
Twentieth Conference on Neural Information Processing Systems,Conference on Neural Information Processing Systems
Twenty-Second Annual Conference on Neural Information Processing Systems,Conference on Neural Information Processing Systems
Twenty-fourth Conference on Neural Information Processing Systems,Conference on Neural Information Processing Systems
Twenty-fifth Conference on Neural Information Processing Systems,Conference on Neural Information Processing Systems
Twenty-eighth Conference on Neural Information Processing Systems,Conference on Neural Information Processing Systems
Twenty-ninth Conference on Neural Information Processing Systems,Conference on Neural Information Processing Systems
Night of the Living Dead,Night of the Living Dead
Eurovision Young Musicians 2002,Eurovision Young Musicians
Eurovision Young Musicians 1994,Eurovision Young Musicians
Eurovision Young Musicians 1998,Eurovision Young Musicians
Eurovision Young Musicians 2000,Eurovision Young Musicians
The 55th annual meeting of the Association for Computational Linguistics,Annual Meeting of the Association for Computational Linguistics
The 58th annual meeting of the Association for Computational Linguistics,Annual Meeting of the Association for Computational Linguistics
Iceland at the UEFA Euro 2016,Iceland at the UEFA European Football Championship
Digital Humanities 2018,Digital Humanities
Digital Humanities 2020,Digital Humanities
Thirty-seventh International Conference on Machine Learning,International Conference on Machine Learning
Napster Sessions,Napster Live Session
All the Pretty Sources,Gossip Girl
42nd European Conference on Information Retrieval,European Conference on Information Retrieval
Thirty-Fourth AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence
Fujifilm X-T100,Fujifilm X series
Fujifilm X-A3,Fujifilm X series
Fujifilm X-T2,Fujifilm X series
Honda RC212V,Honda RC series
The 22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing,ACM Conference on Computer-Supported Cooperative Work and Social Computing
Honda CT110,Honda CT series
Wonder Woman 1984,DC Extended Universe
Rocky,Rocky
Rocky,Rocky
Nikon D3400,Nikon D series
Nikon D2Hs,Nikon D series
Vasupujya,Tirthankara
Anantanatha,Tirthankara
Neminatha,Tirthankara
Parshvanatha,Tirthankara
So Fresh: The Hits of Winter 2011 CD+DVD,So Fresh
So Fresh: The Hits of Winter 2010 CD+DVD,So Fresh
So Fresh: The Hits of Winter 2009 + Bonus DVD,So Fresh
So Fresh: The Hits of Winter 2008 + Bonus DVD,So Fresh
So Fresh: The Hits of Spring 2010,So Fresh
So Fresh: The Hits of Spring 2008 + Bonus DVD,So Fresh
So Fresh: The Hits of Spring 2009 + Bonus DVD,So Fresh
So Fresh: The Hits of Autumn 2010 + Bonus DVD,So Fresh
So Fresh: The Hits of Autumn 2009 + Bonus DVD,So Fresh
iPhone 4,iPhone
iPhone 5,iPhone
iPhone 5C,iPhone
iPhone 5S,iPhone
The Exorcist,The Exorcist series
"Flight Assets – Looted Assets. The Transfer of Cultural Assets to and through Switzerland from 1933 to 1945, and the Problem of Restitution",Publications of the Independent Commission of Experts Switzerland – Second World War
"Flight Assets – Looted Assets. The Transfer of Cultural Assets to and through Switzerland from 1933 to 1945, and the Problem of Restitution",Publications of the Independent Commission of Experts Switzerland – Second World War
Halloween,Halloween
Hug Wolf,Adventure Time
Live Session EP,Live Session EP - iTunes Exclusive
Live Session,Live Session EP - iTunes Exclusive
Hurricane Patricia,2015 Pacific hurricane season
Morbius,Sony’s Universe of Marvel Characters
Hurricane Willa,Pacific hurricane
Hurricane Walaka,Pacific hurricane
Hurricane Lane,Pacific hurricane
Hurricane Marie,Pacific hurricane
Hurricane Genevieve,Pacific hurricane
Hurricane Gilma,Pacific hurricane
Hurricane Emilia,Pacific hurricane
Hurricane Ava,Pacific hurricane
Hurricane Anita,Pacific hurricane
Neuroscience 2019,Neuroscience
Neuroscience 2017,Neuroscience
iTunes Session,ITunes Session
iTunes Session,ITunes Session
iTunes Session,ITunes Session
iTunes Session,ITunes Session
iTunes Session,ITunes Session
Jaws,Jaws
Black Widow,Marvel Cinematic Universe Phase Four
25th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM SIGKDD Conference on Knowledge Discovery and Data Mining
6th International Conference on Computational Social Science,Annual International Conference on Computational Social Science
Godzilla vs. Kong,Godzilla-Kong cinematic universe
Spain at the 1954 European Athletics Championships,Spain at the European Athletics Championships
Tropical Storm Gordon,Atlantic hurricane
Tropical storm Isaac,Atlantic hurricane
Tropical storm Unnamed,Atlantic hurricane
Tropical storm Ernesto,Atlantic hurricane
Tropical storm in 1989 Karen,Atlantic hurricane
Tropical storm Iris,Atlantic hurricane
Tropical storm Barry,Atlantic hurricane
Tropical Storm in 1990 Hortense,Atlantic hurricane
Tropical Storm in 1990 Fran,Atlantic hurricane
Tropical Storm in 1990 Edouard,Atlantic hurricane
Tropical Storm in 1990 Cesar,Atlantic hurricane
Tropical Storm in 1990 Arthur,Atlantic hurricane
The Netherlands at the football World Cup 2004,Netherlands at the UEFA European Football Championship
The 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,Annual Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies
"Grave Concerns: Death, Landscape, and Locality in Medieval Society",Society for Medieval Archaeology Annual Conference
"Women, Status and Power in Medieval Society",Society for Medieval Archaeology Annual Conference
'The Long Black Death': New Perspectives,Society for Medieval Archaeology Annual Conference
Kawasaki H2 Mach IV,Kawasaki triple Series
A Door Marked Exit,Scandal
The Ruler of Time,Detective Conan
The Ghost of Time,Detective Conan
The Guardian of Time,Detective Conan
The Truth of the Karuta Cards,Detective Conan
Horsehair Crab from Suwa Lake,Detective Conan
The Boy Who Cried Wolf,Detective Conan
Fake Feet,Detective Conan
The Moving Corpse,Detective Conan
A Terrible Death,Detective Conan
Communications Code,Detective Conan
A Dangerous Game of Hide-and-seek,Detective Conan
A Person in Need of Rescue,Detective Conan
A Troublesome and Difficult Case,Detective Conan
iTunes Live from SoHo,iTunes Live
iTunes Live: London Festival '09,iTunes Live
ITunes Live from SoHo,iTunes Live
iTunes Live: London Festival '09,iTunes Live
ITunes Live: London Festival '08,iTunes Live
iTunes Live from SoHo,iTunes Live
iTunes Live: London Festival '09,iTunes Live
