Subject,Object
1948 Winter Olympics,Miroslav Sláma
"Aberdeen, Maryland shooting",Snochia Moseley
Discovery Expedition,Louis Bernacchi
Figure skating at the 2020 Winter Youth Olympics – Boys' singles,Younghyun Cha
Integrative structural biology for mechanisms of protein mis-folding and dysregulation: a Japan-UK partnership between Leeds and Osaka,Osaka University
2018 Minsk-Arena Ice Star - junior ice dance rhythm dance,Angelina Lazareva
1947 World All-Round Speed Skating Championships for Men,Åke Seyffarth
Pittsburgh synagogue shooting,Robert Bowers
Second Vatican Council,John Paul II
1957 World All-Round Speed Skating Championships for Men,Knut Johannesen
2016 World Single Distance Speed Skating Championships – Women's 500 metres,Lee Sang-hwa
1927 World All-Round Speed Skating Championships for men,Clas Thunberg
1968 World All-Round Speed Skating Championships for Men,Ard Schenk
1967 World All-Round Speed Skating Championships for Men,Ard Schenk
1971 World All-Round Speed Skating Championships for Men,Ard Schenk
2017 Har Adar shooting,Nimer Aljamal
2016 World Single Distance Speed Skating Championships – Men's 500 metres,Mika Poutala
Council of Constance,Jan Hus
Volvo Open Cup 37th - senior ice dance rhythm dance,Shira Ichilov
1936 Winter Olympics,Zdeněk Jirotka
1994 Winter Olympics,Irena Česneková
1994 Winter Olympics,Irena Česneková
1994 Winter Olympics,Irena Česneková
1994 Winter Olympics,Irena Česneková
1994 Winter Olympics,Irena Česneková
1994 Winter Olympics,Irena Česneková
2015 Paris–Roubaix,Zdeněk Štybar
1898 World Allround Speed Skating Championships for men,István Szabó
Second voyage of HMS Beagle,John Clements Wickham
Nimrod Expedition,Robert Falcon Scott
2017 Paris–Roubaix,Tony Martin
Imperial Trans-Antarctic Expedition,Thomas Crean
2019 Tour of Norway,Roy Curvers
2019 Tour of Norway,Sergey Chernetskiy
2019 Gent–Wevelgem,Niki Terpstra
2015 Gent–Wevelgem,Niki Terpstra
2019 Gent–Wevelgem,Stijn Devolder
2015 Gent–Wevelgem,Gert Steegmans
2019 Gent–Wevelgem,Boy van Poppel
2015 Gent–Wevelgem,Geraint Thomas
2019 Gent–Wevelgem,Alexander Kristoff
2017 Las Vegas shooting,Stephen Paddock
Junctional multiprotein signaling complexes in sensory neurons,School of Biomedical Sciences
2018 Tour of Norway,David Boucher
2018 Tour of Norway,Lars Boom
2018 Ladies Tour of Norway,Kirsten Wild
2018 Ladies Tour of Norway,Elisa Longo Borghini
Figure skating at the 2020 Winter Youth Olympics – Pair skating,Apollinariia Panfilova
First Vatican Council,Charles Lavigerie
1952 Winter Olympics,Jozef Záhorský
1952 Winter Olympics,Jozef Záhorský
1952 Winter Olympics,Jozef Záhorský
1952 Winter Olympics,Jozef Záhorský
1952 Winter Olympics,Jozef Záhorský
1952 Winter Olympics,Jozef Záhorský
1900 World Allround Speed Skating Championships for men,Peder Østlund
2016 World Single Distance Speed Skating Championships – Women's team pursuit,Japan
1939 World All-Round Speed Skating Championships for Men,Charles Mathiesen
Figure skating at the 2020 Winter Youth Olympics – Girls' singles,You Young
Sutherland Springs church shooting,Devin Kelley
2018 Strasbourg attack,Chérif Chekatt
2018 Strasbourg attack,Opération Sentinelle
2016 World Single Distance Speed Skating Championships – Women's 5000 metres,Claudia Pechstein
Bosphorus Istanbul Cup 2018 - senior ice dance rhythm dance,Nicole Kelly
2018 Minsk-Arena Ice Star - ice dance rhythm dance,Jasmine Tessari
Bosphorus Istanbul Cup 2018 - senior ice dance rhythm dance,Anastasiia Shakun
2018 Minsk-Arena Ice Star - ice dance rhythm dance,Anastasiia Shakun
Using climate change information in ecosystems services for poverty alleviation research in China,School of Earth and Environment
Blowing snow and sea ice surfaces as a source of polar sea salt aerosol,School of Earth and Environment
Southern Ocean Seaspray Aerosol Flux Experiment,School of Earth and Environment
Thwaites Interdisciplinary Margin Evolution,School of Earth and Environment
2016 World Single Distance Speed Skating Championships – Men's 5000 metres,Sven Kramer
2016 World Single Distance Speed Skating Championships – Men's mass start,Lee Seung-hoon
2019 Ladies Tour of Norway,Marianne Vos
2017 Ladies Tour of Norway,Marianne Vos
2016 World Single Distance Speed Skating Championships – Women's 1500 metres,Martina Sáblíková
1961 World All-Round Speed Skating Championships for Men,Viktor Kosichkin
2017 Congressional baseball shooting,Steve Scalise
2018 Paris–Roubaix,Nuno Bico
Council of Vienne,Clement V
2018 Winter Olympics,Sweden at the 2018 Winter Olympics
Jacksonville Landing shooting,David Katz
