Subject,Object
2002 European Grand Prix,Juan Pablo Montoya
1996 European Grand Prix,Damon Hill
1974 Monaco Grand Prix,Niki Lauda
1975 Monaco Grand Prix,Niki Lauda
1976 Monaco Grand Prix,Niki Lauda
2009 European Grand Prix,Lewis Hamilton
2008 Monaco Grand Prix,Felipe Massa
1985 European Grand Prix,Ayrton Senna
2012 Monaco Grand Prix,Mark Webber
1999 European Grand Prix,Heinz-Harald Frentzen
1997 Monaco Grand Prix,Heinz-Harald Frentzen
1984 European Grand Prix,Nelson Piquet
2003 Monaco Grand Prix,Ralf Schumacher
2003 European Grand Prix,Kimi Räikkönen
1993 European Grand Prix,Alain Prost
2012 European Grand Prix,Sebastian Vettel
2016 European Grand Prix,Nico Rosberg
2014 Monaco Grand Prix,Nico Rosberg
2005 European Grand Prix,Nick Heidfeld
1983 European Grand Prix,Elio de Angelis
