Subject,Object
Hezbollah,Arab nationalism
Hezbollah,Arab nationalism
Hezbollah,Arab nationalism
Hezbollah,Arab nationalism
Socialists and United to Advance Parliamentary Group,Catalan nationalism
Socialists - Citizens for Change parliamentary group,Catalan nationalism
Socialists and United to Advance Parliamentary Group,Europeanism
Socialists - Citizens for Change parliamentary group,Europeanism
Socialists and United to Advance Parliamentary Group,federalism
Socialists - Citizens for Change parliamentary group,democratic socialism
Kurdistan Workers' Party,democratic socialism
Kurdistan Workers' Party,democratic socialism
Kurdistan Workers' Party,democratic socialism
Green Party of the United States,eco-socialism
Ecologist Greens,subsidiarity
Autonomy Liberty Participation Ecology,social democracy
Independent Democrats,social democracy
Pirate Party Luxembourg,Pirate Party
Pirate Party,Pirate Party
Pirate Party of Greece,Pirate Party
Pirate Party of Spain,Pirate Party
Whigs,Whiggism
Earth Party,green conservatism
Latvian Green Party,green conservatism
Civil Will-Green Party,green liberalism
Party of Greens of Ukraine,green politics
Movement of Ecologists — Citizens' Cooperation,green politics
Youth Party – European Greens,green politics
Green Party,green politics
Greens of Serbia,green politics
"Ecologist Party ""The Greens""",green politics
Green Party,green politics
Left-Green Movement,feminism
