Subject,Object
mestranol/norethisterone,US pregnancy category X
ethinylestradiol/etonogestrel,US pregnancy category X
ethinylestradiol/norelgestromin,US pregnancy category X
estradiol cypionate/medroxyprogesterone acetate,US pregnancy category X
ethinylestradiol/levonorgestrel,US pregnancy category X
ethinylestradiol/norethisterone,US pregnancy category X
ethinylestradiol/drospirenone/levomefolic acid,US pregnancy category X
estradiol/norethisterone acetate,US pregnancy category X
ondansetron,US pregnancy category B
ondansetron,Australian pregnancy category B1
ledipasvir/sofosbuvir,US pregnancy category B
(RS)-citalopram,US pregnancy category C
morphine/naltrexone,US pregnancy category C
mometasone/formoterol,US pregnancy category C
benzoyl peroxide/clindamycin,US pregnancy category C
adapalene/benzoyl peroxide,US pregnancy category C
