Subject,Object
Animator.ru person ID,Animator.ru film ID
PhilPapers publication ID,PhilPapers author ID
UltraSignup runner ID,Deutsche Ultramarathon-Vereinigung ID
ITRA runner ID,Deutsche Ultramarathon-Vereinigung ID
UltraSignup runner ID,ITRA runner ID
ITRA runner ID,UltraSignup runner ID
Deutsche Ultramarathon-Vereinigung ID,ITRA runner ID
Dictionnaire critique des historiens de l'art ID,Critique d'art ID
All-Athletics.com ID,World Athletics athlete ID
All-Athletics.com ID,World Athletics athlete ID
BFI Filmography person ID,BFI National Archive work ID
ERIH PLUS ID,Norwegian Register journal ID
FilmTv.it person ID,FilmTv.it movie ID
Étonnants voyageurs participant ID,Quais du polar writer ID
FIDAL athlete ID,Power of 10 athlete ID
Power of 10 athlete ID,German Athletics Association athlete ID
French Athletics Federation athlete ID,Power of 10 athlete ID
French Athletics Federation athlete ID,Power of 10 athlete ID
Sports-Reference.com college basketball player ID,Sports-Reference.com college basketball coach ID
Sports-Reference.com college basketball coach ID,Basketball-Reference.com NBA coach ID
Sports-Reference.com college basketball player ID,National Collegiate Basketball Hall of Fame ID
Sports-Reference.com college basketball coach ID,Sports-Reference.com college basketball player ID
Unifrance person ID,Unifrance film ID
AlloCiné company ID,AlloCiné film ID
Argentine deputy votations ID,Argentine Chamber of Deputies ID
SFMOMA artist ID,ARTIC artist ID
Sabinet journal ID,African Journals Online  journal ID
UK Parliament thesaurus ID,UK Parliament identifier
Research Papers in Economics Series handle,RePEc Short-ID
OpenSecrets organization ID,OpenSecrets people ID
OpenSecrets organization ID,OpenSecrets people ID
Movieplayer person ID,Movieplayer film ID
artist-info exhibition ID,ULAN ID
artist-info location ID,ULAN ID
artist-info curator ID,ULAN ID
artist-info exhibition ID,ULAN ID
artist-info location ID,ULAN ID
DoME artist ID,ULAN ID
artist-info artist ID,ULAN ID
Mantodea Species File ID,Cockroach Species File ID
Coreoidea Species File ID,Cockroach Species File ID
Cockroach Species File ID,Coreoidea Species File ID
Mantodea Species File ID,Cockroach Species File ID
Coreoidea Species File ID,Cockroach Species File ID
Cockroach Species File ID,Coreoidea Species File ID
Bargeton ID,Personnel de l'administration préfectorale ID
Bargeton ID,Personnel de l'administration préfectorale ID
Premiers préfets ID,Bargeton ID
Bargeton ID,Personnel de l'administration préfectorale ID
cinematografo.it name or company ID,cinematografo film ID
