Subject,Object
Type 38 75 mm Field Gun,75 mm field gun
class,abstract object
triceps surae,set of superficial muscles of posterior compartment of leg
Lisitsin Gambit,Zukertort Opening
Lisitsin Gambit,Zukertort Opening
semolina,groat
heart contraction,heart process
Judicator Caste,unit
Nottingham Open,tennis tournament
caesium-151,dasdasj
caesium-150,dasdasj
caesium-149,dasdasj
caesium-148,dasdasj
caesium-147,dasdasj
caesium-146,dasdasj
M2,heavy machine gun
seventh power,number
5th power,number
fourth power,number
seventh power,number
palladium-128,palladium
palladium-126,palladium
palladium-125,palladium
palladium-124,palladium
palladium-123,palladium
palladium-122,palladium
palladium-121,palladium
palladium-120,palladium
palladium-119,palladium
palladium-118,palladium
palladium-117,palladium
palladium-116,palladium
palladium-115,palladium
palladium-114,palladium
palladium-92,palladium
palladium-91,palladium
palladium-109,palladium
palladium-107,palladium
Chitinase II domain,"Glycoside hydrolase family 18, catalytic domain"
Kobben-class submarine,submarine
Type 206 submarine,submarine
aquathlon,multisport sport
Swimrun,multisport sport
Masseter muscle,Muscles of mastication
lung development,animal organ development
brain development,animal organ development
enneadecagonal number,polygonal number
icositrigonal number,polygonal number
icosihenagonal number,polygonal number
hendecagonal number,polygonal number
tridecagonal number,polygonal number
octagonal number,polygonal number
hexagonal number,polygonal number
"Hedgehog protein, Hint domain",Hedgehog/Intein (Hint) domain
diving,water sport
Foxtrot-class submarine,attack submarine
Aréthuse-class submarine,attack submarine
Timurid art,Islamic art
Islamic art of the Emirate and the Caliphate,Islamic art
Immunoglobulin subtype,Immunoglobulin-like domain
Hepplewhite,neoclassicism
Thompson submachine gun,submachine gun
7.5 cm Gebirgsgeschütz 36,mountain gun
radon-213,radon
radon-212,radon
radon-211,radon
radon-210,radon
7.5 cm leichtes Infanteriegeschütz 18,infantry gun
anterior auricular muscle,extrinsic auricular muscle
Ontario Cottage,Regency architecture
falsity,proposition
SNCF 232.P.1,streamliner
Ladies Tour of Norway,2.1
The Women's Tour,2.1
Lotto-Decca Tour,2.1
Typhoon-class submarine,ballistic missile submarine
Resolution class submarine,ballistic missile submarine
Hotel-class submarine,ballistic missile submarine
PLM 241.B.1,compound locomotive
PLM 6001,compound locomotive
SNCF 5-230.E.93,compound locomotive
Nord 3.999,compound locomotive
Est 2601 and 2602,compound locomotive
Ouest 901 and 902,compound locomotive
Nord 3.1401 and 3.1402,compound locomotive
Nord 3.101,compound locomotive
PLM C.1 and C.2,compound locomotive
parent,first-degree relative
digestive system process,system process
praseodymium-133,praseodymium
praseodymium-131,praseodymium
praseodymium-129,praseodymium
praseodymium-144,praseodymium
Eternals,comics character
Malaysian Open,WTA tennis tournament
Katowice Open,WTA tennis tournament
İstanbul Cup,WTA tennis tournament
hydrodynamics,fluid dynamics
châteauesque,Renaissance Revival architecture
passion,emotion
Trewhiddle style,Anglo-Saxon art
Black Knights' Tango,Indian Defense
gastrocnemius muscle,superficial muscle of posterior compartment of leg
silver-129,silver
silver-125,silver
silver-123,silver
silver-122,silver
silver-121,silver
silver-119,silver
silver-117,silver
silver-116,silver
silver-115,silver
silver-114,silver
silver-113,silver
silver-111,silver
starch,polysaccharides
cerium-132,cerium
cerium-131,cerium
cerium-130,cerium
cerium-129,cerium
cerium-128,cerium
cerium-127,cerium
cerium-126,cerium
cerium-125,cerium
cerium-124,cerium
cerium-122,cerium
maternal great-grandparent,great-grandparent
paternal great-grandparent,great-grandparent
ZiS-3,field gun
M1903 Springfield,repeating rifle
year,time interval
day,time interval
hour,time interval
7.5 cm Pak 40,anti-tank gun
