Subject,Object
ethyl acrylate,carcinogen
aniline,carcinogen
"1,4-dichlorobenzene",carcinogen
ketamine,analgesic
ketamine,analgesic
droperidol,antipsychotic
droperidol,Dopamine antagonist
Dumeticola mandelli,protonym
Matuta miersii,protonym
Sesarma lafondii,protonym
Atya wyckii,protonym
Pagurus setifer,protonym
Grallaria flavirostris,protonym
Hippolyte gaimardii,protonym
Hippolyte cranchii,protonym
Fringilla arborea,protonym
Colius indicus,protonym
Zosterops auriventer,protonym
Barbus cumingii,protonym
"1,3-butadiene",mutagen
Ecklonia bicyclis,basionym
Polygonum perfoliatum,basionym
Polygonum lapathifolium,basionym
Acacia gerrardii,basionym
Atriplex depressa,basionym
Vernonia cinerea,basionym
Chenopodium aristatum,basionym
Lecanora straminea,basionym
Polygonum careyi,basionym
Polymnia sonchifolia,basionym
astemizole,H1 antagonist
astemizole,Anti-Allergic Agents
