Subject,Object
2019 North Macedonian presidential election,Stevo Pendarovski
Krefeld II – Wesel II,Kerstin Radomski
1988 Danish general election,Poul Schlüter
2018 Georgian presidential election,Salome Zurabishvili
Wisconsin gubernatorial recall election,Scott Walker
1906 United Kingdom general election,Henry Campbell-Bannerman
2016 United States presidential election in Pennsylvania,Donald Trump
2011 Hokkaido gubernatorial election,Harumi Takahashi
2019 Indonesian presidential election,Joko Widodo
2006 Illinois gubernatorial election,Rod Blagojevich
2018 Montenegrin presidential election,Milo Đukanović
Municipal elections 2017 in Tammela in Finland,Green League
Municipal elections 2017 in Sastamala in Finland,Green League
Municipal elections 2017 in Säkylä in Finland,Green League
Municipal elections 2017 in Tampere in Finland,Green League
2018 Salford City Council election in Barton,David Jolley
2015 Danish general election,Mette Frederiksen
2015 Danish general election,Bent Bøgsted
1998 Illinois gubernatorial election,George Ryan
1966 Danish general election,Jens Otto Krag
1964 Danish general election,Jens Otto Krag
1971 Danish general election,Jens Otto Krag
Oberbergischer Kreis,Carsten Brodesser
1951 United Kingdom general election,Winston Churchill
Kreis Aachen,Claudia Moll
2002 Texas gubernatorial election,Rick Perry
Municipal elections 2017 in Tervo in Finland,National Coalition Party
Municipal elections 2017 in Tohmajärvi in Finland,National Coalition Party
Municipal elections 2017 in Taivassalo in Finland,National Coalition Party
Municipal elections 2017 in Teuva in Finland,National Coalition Party
2006 Okinawa gubernatorial election,Hirokazu Nakaima
1979 United Kingdom general election,Margaret Thatcher
1983 United Kingdom general election,Margaret Thatcher
2016 Estonian presidential election,Kersti Kaljulaid
2016 Estonian presidential election,Kersti Kaljulaid
1950 Danish Folketing election,Erik Eriksen
1953 Danish Folketing election,Erik Eriksen
1959 Hokkaido gubernatorial election,Kingo Machimura
1959 Hokkaido gubernatorial election,Kingo Machimura
1994 Texas gubernatorial election,George W. Bush
Municipal elections 2017 in Sysmä in Finland,Finns Party
2012 Tokyo gubernatorial election,Naoki Inose
2012 Tokyo gubernatorial election,Naoki Inose
2007 Danish general election,Anders Fogh Rasmussen
2001 Danish general election,Anders Fogh Rasmussen
2005 Danish general election,Anders Fogh Rasmussen
2016 Gambian presidential election,Adama Barrow
2016 Gambian presidential election,Adama Barrow
2016 Gambian presidential election,Adama Barrow
2018 Salford City Council election in Irlam,Roger Jones
2016 Kiribati presidential election,Taneti Maamau
2016 Kiribati presidential election,Taneti Maamau
2014 United States House of Representatives election in the Northern Mariana Islands,Gregorio Sablan
2009 Virginia gubernatorial election,Bob McDonnell
2018 Salford City Council election in Claremont,Neil Reynolds
1953 Danish general election,Hans Hedtoft
1947 Danish Folketing election,Hans Hedtoft
2015 United Kingdom general election,David Cameron
2010 United Kingdom general election,David Cameron
2018 Salford City Council election in Eccles,Michael Wheeler
constituency for the Bundestag election Mülheim – Essen I,Arno Klare
1960 Danish general election,Viggo Kampmann
Münster,Sybille Benning
2017 Slovenian presidential election,Borut Pahor
2017 Slovenian presidential election,Borut Pahor
2014 United States House of Representatives election in Guam,Madeleine Bordallo
1997 United Kingdom general election,Tony Blair
2011 Osaka gubernatorial election,Ichirō Matsui
2011 Osaka gubernatorial election,Ichirō Matsui
Municipal elections 2017 in Tervola in Finland,Left Alliance
Municipal elections 2017 in Taivalkoski in Finland,Left Alliance
Municipal elections 2017 in Vaala in Finland,Left Alliance
