Subject,Object
2MASS J19371884+4346391,420
KOI-2498,30200
QW Puppis,13800
2MASS J19503280+4010153,870
V* V2341 Ori,8400
2MASS J19395696+4334456,340
CL Cam,830
Cocibolca,27900
Bibhā,14500
2MASS J05353270-0630181,9440
Gamma Leporis,21000
ESO-HA 1497,14420
ESO-HA 1293,10960
Kepler-20,29440
Kepler-20,29440
Gumala,30500
KOI-2711,30500
Poerava,23660
2MASS J19264357+4807193,660
2MASS J19141637+4232025,660
Cl* NGC 5139 LEID 23042,28
Kepler-10,18920
Gamma Capricorni,2800
Gamma Capricorni,2800
V* LX Ori,7670
Felixvarela,15500
Koeia,45000
HD 89744,8700
Alpha² Canum Venaticorum,6000
Tapecue,30340
KOI-2585,24200
Cl* NGC 5139 L 1078,22
Cl* NGC 5139 LEID 42508,22
V* V1076 Ori,12760
Nervia,25000
2MASS J19283666+4056278,390
Cl* NGC 5139 L 1019,8
Cl* NGC 5139 LEID 89009,18
Formosa,245
Cl* NGC 5139 LEID 35035,36
DY Leo,14000
Alpha Caeli,10200
39 Ceti,1120
Cl* NGC 5139 LEID 36228,3
Cl* NGC 5139 L 1352,4
Cl* NGC 5139 L 683,4
Nenque,18600
28 Cancri,2750
2MASS J19002573+4537087,380
V* V991 Ori,14930
Rho Geminorum,11500
HAT-P-7,13600
KOI-2443,20460
Gamma Doradus,9300
V* V832 Ori,14800
Cl* NGC 5139 L 1754,25
Epsilon Coronae Australis,3160
HD 104985,280
2MASS J19453187+4724345,794
Cl* NGC 5139 LEID 44026,11
Cl* NGC 5139 L 823,11
