Subject,Object
semiotics,Template:Semiotics
Balassagyarmat District,Template:Balassagyarmat District
statistics,Template:Statistics
Ózd  District,Template:Ózd District
Salgótarján District,Template:Salgótarján District
Baktalórántháza  District,Template:Baktalórántháza District
Balatonalmádi  District,Template:Balatonalmádi District
botany,Template:Botany
Sárvár  District,Template:Sárvár District
Szentgotthárd  District,Template:Szentgotthárd District
Pétervására District,Template:Pétervására District
anthropology,Template:Anthropology
Ajka  District,Template:Ajka District
Tapolca  District,Template:Tapolca District
