Subject,Object
Hammer Horror / Coffee Homeground,Coffee Homeground
Running Up That Hill,Running Up That Hill (A Deal With God) 2012 Remix
Guardians of the Galaxy: Awesome Mix Vol. 1 – Original Motion Picture Soundtrack,Cherry Bomb
Guardians of the Galaxy: Awesome Mix Vol. 1 – Original Motion Picture Soundtrack,Come and Get Your Love
A Night at the Roxbury – Music From The Motion Picture,Disco Inferno
Self Portrait,The Boxer
Experiment IV / Wuthering Heights,Wuthering Heights
Damned Damned Damned,New Rose
The Man with the Child in His Eyes / Moving,Moving
Saturday Night Fever – The Original Movie Sound Track,If I Can't Have You
The Sensual World / Walk Straight Down The Middle,The Sensual World
The Sensual World / Walk Straight Down The Middle,The Sensual World
On Stage EP,Them Heavy People
Draw the Line,Kings and Queens
Animal Magnetism,The Zoo
King Of The Mountain,King Of The Mountain
King Of The Mountain,King Of The Mountain
King Of The Mountain,King Of The Mountain
La Luna / Whatever It Takes,La Luna
