Subject,Object
North Foreland Lighthouse,differential GPS
Inubōsaki Lighthouse,differential GPS
Butt of Lewis Lighthouse,differential GPS
Squadron 30,combat air patrol
Stroud Spiritualist Church,Spiritualist church
Oksøy Lighthouse,coastal lighthouse
Eleventh Street School,school
Worcester Village School,school
Derive,science
SMath Studio,science
Derive,science
Old Batesburg Grade School,primary school
Lenoir Grammar School,primary school
Woodbury Graded School,primary school
Complejo educativo Virgen de la Peana,primary school
Squadron 34,fighter unit
GeoGebra,maximum
Former Leeds Central High School,office building
Squadron 16,aerial reconnaissance
Resorts World Las Vegas,casino
Leuchtturm Travemünde,museum
Sherman Institute Administration Building,museum
Bazaar of Kermanshah,bazaar
Bazaar Haj Zaman,bazaar
Grand Bazaar,bazaar
Vakil Bazaar,bazaar
Squadron 6,aerial bombing
Squadron 46,aerial bombing
No. 42 Squadron,aerial bombing
Squadron 46,aerial bombing
Squadron 6,maritime patrol
The Drew Las Vegas,hotel
Bellagio Hotel & Casino,hotel
JW Marriott Las Vegas,hotel
