Subject,Object
Soyuz TMA-6,Soyuz-TMA
Soyuz TMA-9,Soyuz-TMA
Soyuz TMA-11,Soyuz-TMA
Soyuz TMA-12,Soyuz-TMA
Soyuz TMA-21,Soyuz-TMA
Soyuz TMA-2,Soyuz-TMA
Soyuz TMA-3,Soyuz-TMA
Kosmos 613,Soyuz 7K-T
Kosmos 573,Soyuz 7K-T
Soyuz TM-3,Soyuz-TM
Soyuz TM-7,Soyuz-TM
Soyuz TM-23,Soyuz-TM
Soyuz TM-2,Soyuz-TM
Soyuz TM-22,Soyuz-TM
Soyuz TM-19,Soyuz-TM
Soyuz TM-15,Soyuz-TM
Soyuz TM-17,Soyuz-TM
Soyuz TM-21,Soyuz-TM
Soyuz TM-31,Soyuz-TM
Soyuz TM-28,Soyuz-TM
Soyuz TM-3,Soyuz-TM
Soyuz TM-23,Soyuz-TM
Soyuz TM-19,Soyuz-TM
Soyuz TM-14,Soyuz-TM
Soyuz TM-11,Soyuz-TM
Soyuz TM-1,Soyuz-TM
Soyuz 2,Soyuz 7K-OK
Kosmos 212,Soyuz 7K-OK
Gemini 2,Gemini spacecraft
Gemini 2,Gemini spacecraft
Kosmos 672,Soyuz 7K-TM
Kosmos 638,Soyuz 7K-TM
AS-202,Apollo Command/Service Module
Kosmos 1074,Soyuz-T
Kosmos 1001,Soyuz-T
Soyuz T-1,Soyuz-T
