Subject,Object
Stevens County,2.5
Harrison County,0.1
Real County,0.1
Marion County,0.9
Wetzel County,0.9
Monroe County,0.9
Otter Tail County,11.0
Martin County,2.4
Hidalgo County,0.8
Hardin County,0.8
Greene County,0.8
Valley County,1.8
Ohio County,2.9
Dickinson County,2.0
Clay County,0.5
Gilmer County,0.5
Wyoming County,0.5
Clay County,0.7
Menominee County,22.0
Fayette County,1.0
Holmes County,1.0
Madison County,3.7
Lincoln County,0.4
Austria,1.7
Austria,1.7
Taylor County,1.7
Tyler County,1.7
Mineral County,0.4
Ritchie County,0.4
Tyler County,1.2
Lincoln County,1.2
Lincoln County,1.2
Lincoln County,1.2
Brown County,1.2
Benton County,1.2
Benton County,1.2
Lewis County,0.2
Washington County,1.4
Lewis County,1.4
Jefferson County,1.4
Cass County,16.0
Netherlands,18.7
Netherlands,18.7
Pierce County,7.6
Dakota County,4.2
San Juan County,72.0
Aitkin County,8.7
Clark County,4.1
Jackson County,1.5
Marshall County,2.2
Genesee County,1.9
Grant County,4.0
Hancock County,6.1
