Subject,Object
1991 UCI Road World Championships – Women's road race,Leontien van Moorsel
2015 Tour of Belgium,Tom Boonen
2008 Clásica de San Sebastián,Alejandro Valverde
2007 Clásica de San Sebastián,Alejandro Valverde
2016 Clásica de San Sebastián,Alejandro Valverde
2016 Tour of Belgium,Dries Devenyns
2011 UCI Road World Championships – Women's road race,Marianne Vos
2009 UCI Road World Championships – Women's road race,Marianne Vos
2008 UCI Road World Championships – Women's road race,Marianne Vos
2007 UCI Road World Championships – Women's road race,Marianne Vos
2006 UCI Road World Championships – Women's road race,Marianne Vos
2012 UCI Road World Championships – Women's road race,Marianne Vos
2017 Gran Premio di Lugano,Iuri Filosi
2017 Gran Premio di Lugano,Iuri Filosi
2016 Milan–San Remo,Jürgen Roelandts
2016 Milan–San Remo,Jürgen Roelandts
2017 Grand Prix Impanis-Van Petegem,Jempy Drucker
2013 Vuelta a Castilla y León,Rubén Plaza
2011 Vuelta a Castilla y León,Xavier Tondo
1985 Clásica de San Sebastián,Adri van der Poel
2005 Australian Grand Prix,Giancarlo Fisichella
2000 Clásica de San Sebastián,Andrei Tchmil
1997 Volta ao Alentejo,Aitor Garmendia
1953 Paris-Tours,Ferdinand Kübler
1953 Paris-Tours,Ferdinand Kübler
1953 Paris-Tours,Ferdinand Kübler
1996 Volta ao Alentejo,Miguel Induráin
"2019 Vuelta a España, stage 8",Miguel Ángel López
2010 Route Adélie,Laurent Pichon
2010 Route Adélie,Laurent Pichon
2012 Route Adélie,Laurent Pichon
2010 Grand Prix d'Isbergues,Romain Feillu
2010 Grand Prix d'Isbergues,Romain Feillu
2009 Route Adélie,Romain Feillu
2009 Route Adélie,Romain Feillu
Ski jumping at the 1956 Winter Olympics,Antti Hyvärinen
2019 Paris–Roubaix,Philippe Gilbert
2006 Grand Prix d'Isbergues,Philippe Gilbert
2013 Australian Grand Prix,Kimi Räikkönen
Nordic combined at the 1952 Winter Olympics,Simon Slåttvik
2008 FA Cup Final,Portsmouth F.C.
1988 Australian Grand Prix,Alain Prost
1986 Australian Grand Prix,Alain Prost
1984 European Grand Prix,Alain Prost
2016 Paris–Bourges,Alexander Porsev
1989 Milan–San Remo,Laurent Fignon
Franz Kafka Prize,Peter Handke
Nordic combined at the 1960 Winter Olympics,Georg Thoma
2006 Australian Grand Prix,Fernando Alonso
2005 European Grand Prix,Fernando Alonso
2012 European Grand Prix,Fernando Alonso
2018 Classica Aldeias do Xisto,Daniel Mestre
South Korea 1-2 Mexico,Mexico at the 2018 FIFA World Cup
1964 World 3-cushion championship,Raymond Ceulemans
1995 UCI Road World Championships – Women's road race,Edita Pučinskaitė
1999 European Grand Prix,Johnny Herbert
2015 Tirreno–Adriatico,Carlos Quintero
2008 Australian Grand Prix,Lewis Hamilton
2014 Vuelta a Castilla y León,José Joaquín Rojas
2016 GP Laguna,Domen Novak
Ski jumping at the 1948 Winter Olympics,Petter Hugsted
2012 Vuelta a Castilla y León,Javier Moreno
1980 Milan–San Remo,Pierino Gavazzi
1999 Clásica de San Sebastián,Francesco Casagrande
Booker Prize,Yann Martel
Booker Prize,Bernice Rubens
1952 Paris-Tours,Albéric Schotte
1952 Paris-Tours,Albéric Schotte
1955 Paris-Tours,Jacques Dupont
1955 Paris-Tours,Jacques Dupont
2015 Paris–Roubaix,Zdeněk Štybar
2015 Giro del Piemonte,Jan Bakelants
2015 Milan – San Remo,John Degenkolb
2012 Grand Prix d'Isbergues,John Degenkolb
2013 Grand Prix d'Isbergues,John Degenkolb
2012 Grand Prix d'Isbergues,John Degenkolb
2013 Paris–Bourges,John Degenkolb
2012 Four Days of Dunkirk,Jimmy Engoulvent
2012 Four Days of Dunkirk,John Degenkolb
2019 Sundvolden Grand Prix,Trond Håkon Trondsen
2019 Ringerike Grand Prix,Sindre Lunke
2019 Sundvolden Grand Prix,Sindre Lunke
2019 Ringerike Grand Prix,Kristoffer Skjerping
1929 3-cushion world championship,Edmond Soussa
1928 3-cushion world championship,Edmond Soussa
2010 Australian Grand Prix,Jenson Button
2009 Australian Grand Prix,Jenson Button
2017 Vuelta a Castilla y León,Jonathan Hivert
2002 European Grand Prix,Rubens Barrichello
2009 European Grand Prix,Rubens Barrichello
2018 Four Days of Dunkirk,Timothy Dupont
2018 Paris–Troyes,Adrien Petit
2018 Paris–Troyes,Damien Touzé
2017 Ster ZLM Toer,Laurens De Plus
2019 ZLM Toer,Dylan Groenewegen
2017 Ster ZLM Toer,José Gonçalves
2019 ZLM Toer,Mike Teunissen
2017 Ster ZLM Toer,Laurens De Plus
2019 ZLM Toer,Amund Grøndahl Jansen
2017 Ster ZLM Toer,Joey van Rhee
2019 ZLM Toer,Jumbo-Visma 2019
2017 Ster ZLM Toer,Laurens De Plus
2019 ZLM Toer,Mike Teunissen
2017 Ster ZLM Toer,Dylan Groenewegen
2019 ZLM Toer,Mads Würtz Schmidt
2017 Ster ZLM Toer,José Gonçalves
1971 Vuelta a Guatemala,Saturnino Rustrián
1967 Vuelta a Guatemala,Saturnino Rustrián
1966 Vuelta a Guatemala,Saturnino Rustrián
2018 Classica da Arrábida,Dmitry Strakhov
2017 High Roller for One Drop,Doug Polk
1968 Vuelta a Guatemala,Manuel Galera Magdelano
1966 Milan–San Remo,Eddy Merckx
1956 Paris-Tours,Louison Bobet
1956 Paris-Tours,Louison Bobet
1970 Vuelta a Guatemala,Antonio Menéndez
1990 UCI Road World Championships – Women's road race,Catherine Marsal
1993 UCI Road World Championships – Women's road race,Jeannie Longo
1989 UCI Road World Championships – Women's road race,Jeannie Longo
1987 UCI Road World Championships – Women's road race,Jeannie Longo
1963 Vuelta a Guatemala,Juan Pontaza
1988 Clásica de San Sebastián,Gert-Jan Theunisse
1994 Clásica de San Sebastián,Lance Armstrong
2018 Clásica de San Sebastián,Bauke Mollema
2017 Clásica de San Sebastián,Bauke Mollema
1950 Paris-Tours,Guy Lapébie
1950 Paris-Tours,Guy Lapébie
2018 Australian Grand Prix,Sebastian Vettel
2011 Australian Grand Prix,Sebastian Vettel
2018 Danmark Rundt,Tobias Kongstad
2018 Danmark Rundt,Nicolai Brøchner
2011 Route Adélie,Gianni Meersman
1975 Tirreno–Adriatico,Wladimiro Panizza
Rugby union at the 1900 Summer Olympics,Union des Sociétés Françaises de Sports Athlétiques
2000 Tour of Japan,Mauro Gianetti
2000 Tour of Japan,René Haselbacher
2018 world 3-cushion championship,Semih Saygıner
2018 Coppa Ugo Agostoni,Rein Taaramäe
2018 Coppa Ugo Agostoni,Rein Taaramäe
2014 Grand Prix d'Isbergues,Heinrich Haussler
South Korea 2-0 Germany,South Korea at the 2018 FIFA World Cup
2014 Tirreno–Adriatico,AG2R La Mondiale 2014
