Subject,Object
Mercy College,master's colleges and universities: larger programs
Michigan State University,doctoral university: highest research activity
Cornell University,doctoral university: highest research activity
University of Massachusetts Amherst,doctoral university: highest research activity
Cornell University,doctoral university: highest research activity
"University of California, Berkeley",doctoral university: highest research activity
Texas A&M University,high undergraduate
"University of California, Berkeley",doctoral university: highest research activity
West Virginia University,doctoral university: highest research activity
"University of California, Berkeley",doctoral university: highest research activity
North Carolina State University,doctoral university: highest research activity
North Carolina State University,doctoral university: highest research activity
Cornell University,"research doctoral: comprehensive programs, with medical/veterinary school"
Texas A&M University,doctoral university: highest research activity
Baruch College,"professions plus arts & sciences, some graduate coexistence"
Baruch College,"postbaccalaureate: business-dominant, with arts & sciences"
Baruch College,high undergraduate
Dickinson College,exclusively undergraduate four-year
Morehouse College,baccalaureate colleges: arts and sciences focus
Dickinson College,baccalaureate colleges: arts and sciences focus
Pikes Peak Community College,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
Piedmont Community College,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
St. Charles Borromeo Seminary,"four-year, medium full-time, inclusive, higher transfer-in"
Pasco–Hernando Community College,baccalaureate/associate's colleges: associate's dominant four year colleges
Valencia College,baccalaureate/associate's colleges: associate's dominant four year colleges
University of Alaska Fairbanks,doctoral university: higher research activity
City College of New York,research doctoral: single program - other
City College of New York,"four-year, medium full-time, selective, higher transfer-in"
Pima Community College,associate's colleges: high transfer-mixed traditional/nontraditional
St. Bernard's School of Theology and Ministry,postbaccalaureate: single program - other
Saint John's Seminary,postbaccalaureate: single program - other
Saint Joseph Seminary College,"four-year, full-time, inclusive, higher transfer-in"
St. John Vianney College Seminary,"four-year, full-time, inclusive, higher transfer-in"
Saint John's Seminary,"four-year, full-time, inclusive, higher transfer-in"
Saint Meinrad Seminary and School of Theology,exclusively graduate
Sacred Heart School of Theology,exclusively graduate
University of Saint Mary of the Lake,exclusively graduate
St. Vincent de Paul Regional Seminary,exclusively graduate
Saint Vincent Seminary,exclusively graduate
St. Bernard's School of Theology and Ministry,exclusively graduate
St. John's Seminary,exclusively graduate
Toccoa Falls College,baccalaureate colleges: diverse fields
Clearwater Christian College,baccalaureate colleges: diverse fields
Our Lady of Holy Cross College,baccalaureate colleges: diverse fields
Sojourner–Douglass College,baccalaureate colleges: diverse fields
Pasadena City College,associate's colleges: high transfer-high traditional
Piedmont Virginia Community College,associate's colleges: high transfer-high nontraditional
