Subject,Object
Terra Nova Migratory Bird Sanctuary,IUCN category II: National Park
Beckett Creek Migratory Bird Sanctuary,IUCN category II: National Park
Vuntut National Park,IUCN category II: National Park
Ivvavik National Park,IUCN category II: National Park
Kluane National Park and Reserve,IUCN category II: National Park
Aulavik National Park,IUCN category II: National Park
Thaidene Nëné National Park Reserve,IUCN category II: National Park
Prince Albert National Park,IUCN category II: National Park
Tisůvka,IUCN category III: Natural Monument or Feature
Rybenské Perničky,IUCN category III: Natural Monument or Feature
Peperek,IUCN category III: Natural Monument or Feature
Pasecká skála,IUCN category III: Natural Monument or Feature
Orlovická hora,IUCN category III: Natural Monument or Feature
Malínská skála Sněžné,IUCN category III: Natural Monument or Feature
Kuzov,IUCN category III: Natural Monument or Feature
Harry Gibbons Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
East Bay Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Hannah Bay Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Prince Leopold Island Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Akimiski Island Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Richardson Lake Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Papahānaumokuākea Marine National Monument,IUCN category Ia: Strict Nature Reserve
Baie de l'Isle-Verte National Wildlife Area,IUCN category IV: Habitat/Species Management Area
Sedlo,IUCN category IV: Habitat/Species Management Area
Rašeliniště Jizery,IUCN category IV: Habitat/Species Management Area
Porážky,IUCN category IV: Habitat/Species Management Area
Vůznice,IUCN category IV: Habitat/Species Management Area
Sýkoř,IUCN category IV: Habitat/Species Management Area
Bzová,IUCN category IV: Habitat/Species Management Area
