Subject,Object
MEA Indian Mission ID,"Embassy of India, Washington, D.C."
MEA Indian Mission ID,"Embassy of India, Washington, D.C."
ctext work ID,Analects
Cockroach Species File ID,Blattellinae
Cockroach Species File ID,Blattellinae
Sabinet journal ID,Africa Education Review
Irish Rugby Football Union women's player ID,Niamh Briggs
Wildlife Protection Act 1972,Gazella bennettii
Unifrance person ID,Jean Teulé
date depicted,Brothers in Arms: D-Day
date depicted,Brothers in Arms: D-Day
commemorative plaque image,"Frederick II, Holy Roman Emperor"
MYmovies actor ID,Omar Sy
UltraSignup runner ID,Ruby Muir
UltraSignup runner ID,Ruby Muir
cinematografo.it name or company ID,Vittorio Gassman
AlloCiné company ID,20th Century Fox France
OpenSecrets organization ID,Perkins Coie LLP
OpenSecrets organization ID,National Association of Realtors
Sports-Reference.com college basketball player ID,Jack Cooley
Sports-Reference.com college basketball player ID,Jack Cooley
Research Papers in Economics Series handle,Business Inform
PhilPapers publication ID,The Acorn
Transporter Classification Database ID,voltage-gated ion channel
FFF female player ID,Eugénie Le Sommer
Women's Basketball Hall of Fame ID,Ora Washington
Women's Collegiate Tennis Hall of Fame ID,Alycia Moulton
Women's Collegiate Tennis Hall of Fame ID,Althea Gibson
Mantodea Species File ID,Rhombodera basalis
Mantodea Species File ID,Rhombodera basalis
detail map,Sicily
aperture,Canon EF 1200mm lens
Prime Pages ID,M6972593
Prime Pages ID,M6972593
Coreoidea Species File ID,Western conifer seed bug
Coreoidea Species File ID,Western conifer seed bug
Rugby Football Union women's player ID,Sarah Hunter
image of grave,Simon Addis
opinion joined by,Roe v. Wade
location of first performance,Der Hauptmann von Köpenick (The Captain of Köpenick)
distribution map,Roberts
Bargeton ID,Jean-Pierre Abeille
Bargeton ID,Félix Achard
Bargeton ID,Valentin Abeille
BFI Filmography person ID,Michael Balcon
French Athletics Federation athlete ID,Haoua Kessely
French Athletics Federation athlete ID,Haoua Kessely
Étonnants voyageurs participant ID,Léonora Miano
Argentine deputy votations ID,Néstor Pitrola
UK Parliament thesaurus ID,David Cameron
CETS number,European Landscape Convention
CETS number,European Landscape Convention
Deutsche Ultramarathon-Vereinigung ID,Nuria Picas Albets
ERIH PLUS ID,Historische Zeitschrift
LFB player ID,Laetitia Kamba
LFB player ID,Renee Montgomery
All-Athletics.com ID,Jacqueline Curtet
All-Athletics.com ID,Jacqueline Curtet
ITRA runner ID,Caroline Chaverot
ITRA runner ID,Caroline Chaverot
charge conjugation quantum number,photon
Power of 10 athlete ID,Ellie Greenwood
Movieplayer person ID,Michael Crichton
Premiers préfets ID,Jules Pasquier
Basketball-Reference.com WNBA player ID,Nikki McCray
Basketball-Reference.com WNBA player ID,Seimone Augustus
Sports-Reference.com college basketball coach ID,C. M. Newton
Sports-Reference.com college basketball coach ID,C. M. Newton
Pathway Ontology ID,G-protein coupled receptor signaling pathway
season,Asylum of the Daleks
