Subject,Object
Wapping railway station,Shadwell railway station
Wapping railway station,Rotherhithe railway station
Nuremberg Central Station,Munich Central Station
Binnenhof,Romeynshof
Romeynshof,Binnenhof
Aldwych tube station,Holborn tube station
Aldwych tube station,Holborn tube station
30th Street Station,Suburban Station
Holzkirchen station,Otterfing station
Kreuzstraße station,Großhelfendorf station
Kreuzstraße station,Holzkirchen station
Großhelfendorf station,Kreuzstraße station
Canning Town,East India
Surrey Quays railway station,New Cross Gate railway station
Parsons Green tube station,Fulham Broadway tube station
Leidschenveen,Nootdorp
Prinsenlaan,Schenkel
Pijnacker Centrum,Pijnacker Zuid
Meijersplein,Melanchthonweg
Charing Cross tube station,Piccadilly Circus tube station
Neufahrn,Pulling (b Freising) station
Ambachtsland,De Tochten
Graskruid,Hesseplaats
Nieuw Verlaat,Hesseplaats
Ambachtsland,Nieuw Verlaat
Graskruid,Rotterdam Alexander railway station
Oosterflank,Rotterdam Alexander railway station
Bibliothèque François Mitterrand Station,Ivry-sur-Seine
Milano Porta Garibaldi,Milano Lancetti railway station
Berlin Südkreuz station,Priesterweg railway station
Berlin Südkreuz station,Priesterweg railway station
Nationaltheatret Station,Oslo Central Station
Altglienicke station,Adlershof station
West Ham station,Barking station
Waterloo tube station,Southwark tube station
Victoria tube station,Green Park tube station
Osnabrück Central Station,Bohmte railway station
Den Haag Laan van NOI railway station,Den Haag Centraal railway station
