Subject,Object
Ryanverse,Tom Clancy
Louise Thompson Patterson: A Life of Struggle for Justice,Keith Gilyard
Alessandra Orofino: It’s our city. Let’s fix it,Alessandra Orofino
Rwandan Women Rising,Swanee Hunt
Childe Cycle,Gordon R. Dickson
Childe Cycle,Gordon R. Dickson
The Inconvenient Truth,Patrick Crusius
Madame Bovary,Gustave Flaubert
Charles Robertson: Africa's next boom,Charles Robertson
El la skizlibro,Washington Irving
"Loneliness and Its Opposite: Sex, Disability, and the Ethics of Engagement",Jens Rydström
Jobcenter,Enzo Cormann
Jobcenter,Enzo Cormann
Jobcenter,Enzo Cormann
Jobcenter,Enzo Cormann
Attikos 10a-f,Paul von Rohden
Monna Vanna,Maurice Maeterlinck
Monna Vanna,Maurice Maeterlinck
RE:Ala 2,Conrad Cichorius
Understanding Comics,Scott McCloud
The Strange Awakening of Lazy Smurf,Peyo
Aristophon 7,Georg Kaibel
Aristophanes 12,Georg Kaibel
Andras Forgacs: Leather and meat without killing animals,Andras Forgacs
Hans Rosling: The best stats you've ever seen,Hans Rosling
"Hans Rosling: Insights on HIV, in stunning data visuals",Hans Rosling
Iter Italicum,Paul Oskar Kristeller
Nursery Rhymes of London Town,Eleanor Farjeon
"House of Slaves and “Door of No Return”: Gold Coast/Ghana Slave Forts, Castles & Dungeons and the Atlantic Slave Trade",Edmund Abaka
Achenyo Idachaba: How I turned a deadly plant into a thriving business,Achenyo Idachaba
Melodrama,Jonathan Goldberg
4TEEN,Ira Ishida
call boy,Ira Ishida
Corrigendum: LSD1 is essential for oocyte meiotic progression by regulating CDC25B expression in mice.,Yue Lu
Cat on the Mat,Brian Wildsmith
Joseph Kim: The family I lost in North Korea. And the family I gained.,Joseph Kim
Gamengrund und Rüdersdorf,Oskar Kilian
Im Warthebruch,Oskar Kilian
In's Ruppiner Land,Oskar Kilian
Um den Scharmützel-See,Oskar Kilian
In's Land Lebus,Oskar Kilian
Im Spreewald,Oskar Kilian
A Dangerous Game,Friedrich Dürrenmatt
A Dangerous Game,Friedrich Dürrenmatt
A Dangerous Game,Friedrich Dürrenmatt
A Dangerous Game,Friedrich Dürrenmatt
A Dangerous Game,Friedrich Dürrenmatt
Amy Smith: Simple designs to save a life,Amy B. Smith
The Brain's Body: Neuroscience and Corporeal Politics,Victoria Pitts-Taylor
Tintin in Tibet,Hergé
Tintin and Alph-Art,Hergé
Destination Moon,Hergé
Explorers on the Moon,Hergé
The Castafiore Emerald,Hergé
Prisoners of the Sun,Hergé
The Seven Crystal Balls,Hergé
Destination Moon,Hergé
Explorers on the Moon,Hergé
Sakuntala,Kālidāsa
Bill Gates: Innovating to zero!,Bill Gates
Shenzhen,Guy Delisle
Pyongyang,Guy Delisle
Coinage of the Roman Republic Online,Michael Crawford
Corrigendum: Genome-wide association of polycystic ovary syndrome implicates alterations in gonadotropin secretion in European ancestry populations.,Mark McCarthy
"Catalogue of paintings in the National Gallery, London",Art UK
The Scarlet School Trip,Gosho Aoyama
The Ruler of Time,Gosho Aoyama
The Ghost of Time,Gosho Aoyama
The Guardian of Time,Gosho Aoyama
The Truth of the Karuta Cards,Gosho Aoyama
Horsehair Crab from Suwa Lake,Gosho Aoyama
The Boy Who Cried Wolf,Gosho Aoyama
Fake Feet,Gosho Aoyama
The Moving Corpse,Gosho Aoyama
A Terrible Death,Gosho Aoyama
Communications Code,Gosho Aoyama
A Dangerous Game of Hide-and-seek,Gosho Aoyama
A Person in Need of Rescue,Gosho Aoyama
A Troublesome and Difficult Case,Gosho Aoyama
Classification of Knowledge Organization Systems with Wikidata,Jakob Voss
Rich Benjamin: My road trip through the whitest towns in America,Rich Benjamin
First Epistle of John,John the Evangelist
Ultimatum,Jeph Loeb
The Revolution Will Not Be Funded,INCITE!
Oren Yakobovich: Hidden cameras that film injustice in the world’s most dangerous places,Oren Yakobovich
Tony Porter: A call to men,Tony Porter
Robert Muggah: How to protect fast-growing cities from failing,Robert Muggah
Level 7,Miyuki Miyabe
Mobōhan,Miyuki Miyabe
The Mansions of the Gods,René Goscinny
Ilona Szabó de Carvalho: 4 lessons I learned from taking a stand against drugs and gun violence,Ilona Szabó de Carvalho
White Innocence: Paradoxes of Colonialism and Race,Gloria Wekker
Second Epistle of Peter,Peter
First Epistle of Peter,Peter
Second Epistle of Peter,Peter
First Epistle of Peter,Peter
Alessandro Acquisti: What will a future without secrets look like?,Alessandro Acquisti
Vandalism Detection in Wikidata,Martin Potthast
Vandalism Detection in Wikidata,Martin Potthast
Vandalism Detection in Wikidata,Martin Potthast
Vandalism Detection in Wikidata,Martin Potthast
The Buffalo Declaration,Blake Richards
The Buffalo Declaration,Blake Richards
Träume,Günter Eich
Freden,Aristophanes
Aristophanes 16,Carl Robert
"Love, H: The Letters of Helene Dorn and Hettie Jones",Hettie Jones
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
U.S. Route Numbering Sub-Committee Agenda,Special Committee on U.S. Route Numbering
Berts dagbok,Anders Jacobsson
Berts första betraktelser,Anders Jacobsson
Berts bryderier,Anders Jacobsson
Berts bravader,Anders Jacobsson
Berts bekännelser,Anders Jacobsson
Berts bekymmer,Anders Jacobsson
Bert och brorsorna,Anders Jacobsson
Bert och bacillerna,Anders Jacobsson
Bert och Boysen,Anders Jacobsson
Berts bravader,Anders Jacobsson
Berts första betraktelser,Anders Jacobsson
Berts vidare betraktelser,Anders Jacobsson
Berts bravader,Anders Jacobsson
"Aakash Odedra: A dance in a hurricane of paper, wind and light",Aakash Odedra
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,Christiane Stock
Courtney Martin: This isn't her mother's feminism,Courtney E. Martin
Epistle of James,James the Just
Rana el Kaliouby: This app knows how you feel -- from the look on your face,Rana el Kaliouby
Paula Johnson: His and hers … healthcare,Paula Johnson
"Exile and Pride: Disability, Queerness, and Liberation",Eli Clare
Nancy Lublin: The heartbreaking text that inspired a crisis help line,Nancy Lublin
Tyrone Hayes + Penelope Jagessar Chaffer: The toxic baby,Tyrone Hayes
The Right to Maim,Jasbir Puar
Bastian Schaefer: A 3D-printed jumbo jet?,Bastian Schaefer
"Elizabeth Lesser: Take ""the Other"" to lunch",Elizabeth Lesser
Trial Speech of Ken Saro-Wiwa,Ken Saro-Wiwa
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,Daniel Mietchen
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,Daniel Mietchen
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,Daniel Mietchen
RE:Mellodunum,Hans Zeiss
"Haydée Santamaría, Cuban Revolutionary: She Led by Transgression",Margaret Randall
Paul Kemp-Robertson: Bitcoin. Sweat. Tide. Meet the future of branded currency.,Paul Kemp-Robertson
Spirit Warrior,Makoto Ogino
Staying with the Trouble: Making Kin in the Chthulucene,Donna Haraway
Roxane Gay: Confessions of a bad feminist,Roxane Gay
Bound and Gagged: Pornography and the Politics of Fantasy in America,Laura Kipnis
Beyond the Sea,Eddie Robson
Samurai Deeper Kyo,Akimine Kamijyo
Erratum: Layer-dependent quantum cooperation of electron and hole states in the anomalous semimetal WTe2.,Robert Cava
Al Gore: Averting the climate crisis,Al Gore
Biblical Basis for War,Matt Shea
Aria the Scarlet Ammo,Chūgaku Akamatsu
On American Taxation,Edmund Burke
Analysis of Wikipedia's Translation Tool and its uses in Education,Marios Magioladitis
Jorge Soto: The future of early cancer detection?,Jorge Soto
Burt Rutan: The real future of space exploration,Burt Rutan
Alaa Murabit: What my religion really says about women,Alaa Murabit
Oberon,Alois Tvrdek
Sakena Yacoobi: How I stopped the Taliban from shutting down my school,Sakena Yacoobi
Three Wise Old Women,Elizabeth T. Corbett
Carmén,Georges Bizet
The Graduation of Jake Moon,Barbara Park
Become a NIOSH-Certified B Reader.,David N. Weissman
Families in War and Peace: Chile from Colony to Nation,Sarah C. Chambers
"Cherry Grove, Fire Island: Sixty Years in America’s First Gay and Lesbian Town",Esther Newton
Nonny de la Peña: The future of news? Virtual reality,Nonny de la Peña
Erratum to: Conformational changes and translocation of tissue-transglutaminase to the plasma membranes: role in cancer cell migration.,Jianjun Hu
Dilemmas of Difference: Indigenous Women and the Limits of Postcolonial Development Policy,Sarah A. Radcliffe
"Disturbing Attachments: Genet, Modern Pederasty, and Queer History",Kadji Amin
Hofstede de Groot catalog raisonné volume 8,Cornelis Hofstede de Groot
Hofstede de Groot catalog raisonné volume 7,Cornelis Hofstede de Groot
Hofstede de Groot catalog raisonné volume 6,Cornelis Hofstede de Groot
Hofstede de Groot catalog raisonné volume 5,Cornelis Hofstede de Groot
Hofstede de Groot catalog raisonné volume 4,Cornelis Hofstede de Groot
Hofstede de Groot catalog raisonné volume 3,Cornelis Hofstede de Groot
Dragonlance,Margaret Weis
De domo sua,Cicero
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,Itamar Grotto
The Boy That Time Forgot,Paul Magrs
The Boy That Time Forgot,Paul Magrs
The Boy That Time Forgot,Paul Magrs
Aristophanes 14,Leopold Cohn
Downwardly Global,Lalaie Ameeriar
Marlene Zuk: What we learn from insects’ kinky sex lives,Marlene Zuk
Western States Division: your gateway to working with NIOSH in the west,National Institute for Occupational Safety and Health
Using naloxone to reverse opioid overdose in the workplace: information for employers and workers,National Institute for Occupational Safety and Health
Responding to a suspected opioid overdose,National Institute for Occupational Safety and Health
