Subject,Object
Hoffmann-La Roche,Lasker-DeBakey Clinical Medical Research Award
Basel,European City of the Reformation
Zürich,European City of the Reformation
Basel,European City of the Reformation
Lausanne,European City of the Reformation
Basel,European City of the Reformation
Zürich,European City of the Reformation
Lausanne,European City of the Reformation
Basel,European City of the Reformation
Google,Big Brother Awards
Microsoft,Big Brother Awards
Sky Deutschland,Bavarian TV Awards
Colt Technology Services,National Telecommunications Award
