Subject,Object
Doŭsk Sieĺsaviet,Dowsk
Cheyenne County,Cheyenne Wells
Cheyenne County,Cheyenne Wells
Dornod Province,Choibalsan
Pichincha Province,Quito
Atchampet mandal,Atchampet
Vall d'Albaida,Albaida
Baktalórántháza  District,Baktalórántháza
Askersund Municipality,Askersund
Acomayo Province,Acomayo
Háromszék County,Sfântu Gheorghe
Feldkirch District,Feldkirch
Feldkirch District,Feldkirch
Feldkirch District,Feldkirch
Rottweil,Rottweil
Tarragonès,Tarragona
Hardin County,Kountze
Tübingen,Tübingen
Ratne Raion,Ratne
Minganie Regional County Municipality,Havre-Saint-Pierre
Nyköping Municipality,Nyköping
Zell am See District,Zell am See
Montour County,Danville
Plana Alta,Castelló de la Plana
Beni Suef Governorate,Beni Suef
Seminole County,Sanford
Andramasina,Andramasina
Boden Municipality,Boden
Boden Municipality,Boden
province of Milan,Milan
Martur mandal,Martur
Marinid Sultanate,Fez
Perwez,Perwez
Vaudreuil-Soulanges Regional County Municipality,Vaudreuil-Dorion
Province of Bari,Bari
Matrouh Governorate,Mersa Matruh
Nor Yungas Province,Coroico
Marion County,Fairmont
Marion County,Ocala
Tapolca  District,Tapolca
Brézina District,Brézina
Bongolava,Tsiroanomandidy
Atsimo-Atsinanana,Farafangana
Dornbirn District,Dornbirn
Szolnok-Doboka County,Dej
Kamin-Kashyrskyi Raion,Kamin-Kashyrskyi
Baden District,Baden bei Wien
Baden District,Baden bei Wien
Baden District,Baden bei Wien
Borgholm Municipality,Borgholm
Sohag Governorate,Sohag
Vinalopó Mitjà,Elda
Andrés Ibáñez Province,Santa Cruz de la Sierra
Jackson County,Ripley
Marshall County,Moundsville
Pomeranian Voivodeship,Gdańsk
Delta County,Delta
Manevychi Raion,Manevychi
Banibangou Department,Banibangou
Tangutur mandal,Tangutur
Nemuro Subprefecture,Nemuro
Sheridan County,McClusky
Sultanate of Zanzibar,Zanzibar City
Sēja Municipality,Loja
Plana Baixa,Borriana
Hidalgo County,Edinburg
Balleyara Department,Balleyara
Fayette County,Fayetteville
Jennersdorf District,Jennersdorf
Tulln District,Tulln an der Donau
Chellala District,Chellala
La Comarca de Utiel-Requena,Utiel
Ribera Alta,Alzira
Byčycha Sieĺsaviet,Byčycha
Kushiro Subprefecture,Kushiro
Chiclayo Province,Chiclayo
Clay County,Clay
Ennepe-Ruhr-Kreis,Schwelm
Ennepe-Ruhr-Kreis,Schwelm
Gilmer County,Glenville
General López Department,Melincué
Murtal District,Judenburg
Sprimont,Sprimont
Chornomorske Raion,Chornomorske
Eddy County,New Rockford
Beersel,Beersel
Engure Municipality,Smārde
Engure Municipality,Smārde
Candelaria department,Santa Ana
Harrison County,Clarksburg
Graz-Umgebung District,Graz
Graz-Umgebung District,Graz
Graz-Umgebung District,Graz
Graz-Umgebung District,Graz
Graz-Umgebung District,Graz
Jönköping County,Jönköping
Ysyk-Ata District,Kant
Strenči Municipality,Strenči
Atsimo-Andrefana,Toliara
Reutte District,Reutte
Weiz District,Weiz
Balatonalmádi  District,Balatonalmádi
Conejos County,Conejos
Conejos County,Conejos
Marina Baixa,Villajoyosa
Vecumnieki Municipality,Vecumnieki
Vecumnieki Municipality,Vecumnieki
Kocēni Municipality,Kocēni
Kocēni Municipality,Kocēni
Kocēni Municipality,Kocēni
Las Animas County,Trinidad
Paruro Province,Paruro
Hunyad County,Deva
Bregenz District,Bregenz
Bregenz District,Bregenz
Bregenz District,Bregenz
Gothenburg Municipality,Gothenburg
Gothenburg Municipality,Gothenburg
Gothenburg Municipality,Gothenburg
Gothenburg Municipality,Gothenburg
Ķekava Municipality,Ķekava
Ķekava Municipality,Ķekava
North East Lincolnshire,Grimsby
Salgótarján District,Salgótarján
Racherla mandal,Racherla
Dalarna County,Falun
Bankilaré Department,Bankilaré
Phillips County,Holyoke
Kingdom of Italy,Rome
Province of Rome,Rome
La Côte-de-Gaspé Regional County Municipality,Gaspé
Khovd Province,Khovd
Dornala mandal,Dornala
Garraf,Vilanova i la Geltrú
Bulgan Province,Bulgan
Sint-Katelijne-Waver,Sint-Katelijne-Waver
Västerbotten County,Umeå
Podlaskie Voivodeship,Białystok
Salaspils Municipality,Salaspils
Rhein-Berg District,Bergisch Gladbach
Boutlélis District,Boutlélis
Pustomyty Raion,Pustomyty
Uvs Province,Ulaangom
Gothèye Department,Gothèye
Krasnohrad Raion,Krasnohrad
Yerragondapalem mandal,Yerragondapalem
Ambilobe,Ambilobe
St. Johann im Pongau District,Sankt Johann im Pongau
Les Maskoutains Regional County Municipality,Saint-Hyacinthe
Szentgotthárd  District,Szentgotthárd
Aroma Province,Sica Sica Municipality
Gdyel District,Gdyel
Örebro County,Örebro
Mālpils Municipality,Mālpils
Mālpils Municipality,Mālpils
Balassagyarmat District,Balassagyarmat
Azuay Province,Cuenca
Redcar and Cleveland,Redcar
Belbédji Department,Belbédji
Sultanate of Mohéli,Fomboni
Saint-Ghislain,Saint-Ghislain
Ambatomainty,Ambatomainty
Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
Incourt,Incourt
Charlotte County,Punta Gorda
Anoia,Igualada
Taylor County,Grafton
Podkarpackie Voivodeship,Rzeszów
Baca County,Springfield
Baca County,Springfield
Baca County,Springfield
Venkatachalam mandal,Venkatachalam
Lienz District,Lienz
Marguerite-D'Youville Regional County Municipality,Sainte-Julie
Kurichedu mandal,Kurichedu
Guayas Province,Guayaquil
Daniel Alcides Carrión Province,Yanahuanca
Böblingen,Böblingen
Alt Penedès,Vilafranca del Penedès
Caseros Department,Casilda
Ritchie County,Harrisville
Santhanuthala Padu mandal,Santhanuthala padu
Toguz-Toro District,Kazarman
Hinsdale County,Lake City
Hinsdale County,Lake City
Kingdom of Iraq,Baghdad
Baix Llobregat,Sant Feliu de Llobregat
Le Rocher-Percé Regional County Municipality,Chandler
Parchur mandal,Parchur
Alto Mijares,Montán
Province of Genoa,Genoa
Province of Genoa,Genoa
Province of Genoa,Genoa
Minden-Lübbecke District,Minden
