Subject,Object
Finland women's national football team,Tinja-Riikka Korpela
South Africa women's national association football team,Janine van Wyk
Iceland women's national football team,Sara Björk Gunnarsdóttir
Ghana women's national football team,Mercy Myles
Greece women's national football team,Natalia Chatzigiannidou
Republic of Ireland women's national football team,Emma Byrne
Colombia women's national football team,Natalia Gaitán
Netherlands women's national football team,Sari van Veenendaal
Croatia women's national football team,Iva Landeka
Portugal women's national football team,Cláudia Neto
Ukraine women's national football team,Daryna Apanaschenko
Poland women's national football team,Patrycja Pożerska
Scotland women's national football team,Rachel Corsie
