Subject,Object
Moselle Viaduct,Bundesautobahn 61
Moselle Viaduct,Bundesautobahn 61
Moselle Viaduct,Bundesautobahn 61
Moselle Viaduct,Bundesautobahn 61
Benten Bridge,Japan National Route 133
Øresund Bridge,Oresund Line
Verrazzano-Narrows Bridge,Interstate 278
Jiujiang Yangtze River Bridge,Beijing–Kowloon railway
Jiujiang Yangtze River Bridge,Beijing–Kowloon railway
Göltzschtalbrücke,Bundesautobahn 72
Göltzschtalbrücke,Bundesautobahn 72
Göltzschtalbrücke,Bundesautobahn 72
Suidō Bridge,Tokyo Metropolitan Road Route 301
Siuslaw River Bridge,U.S. Route 101 in Oregon
Siuslaw River Bridge,U.S. Route 101 in Oregon
Göltzsch Viaduct,Leipzig–Hof railway
Göltzsch Viaduct,Leipzig–Hof railway
Göltzsch Viaduct,Leipzig–Hof railway
Dom Luís I Bridge,Republica boulevard
Dom Luís I Bridge,Republica boulevard
Wuhu Yangtze River Bridge,G5011 Wuhu–Hefei Expressway
Brenztalbrücke,Bundesautobahn 7
Brenztalbrücke,Bundesautobahn 7
Brenztalbrücke,Bundesautobahn 7
Brenztalbrücke,Bundesautobahn 7
Passyunk Avenue Bridge,Passyunk Avenue
Giske Bridge,Norwegian County Road 5957
Ponto do Pocinho,Sabor line
Manri Bridge,Yokohama city road route 80
Changjiangyuan bridge,Qingzang railway
Namihaya Bridge,Kaigandori
Fredhällsbron,Essingeleden
Golden Gate Bridge,U.S. Route 101 in California
George Washington Bridge,Interstate 95
Tianxingzhou Yangtze River Bridge,Beijing–Guangzhou High-Speed Railway
Puumalansalmi Bridge,Main road 62
Čiovo bridge,D126 road
