Subject,Object
Hardwick Hall,Category:Interior of Hardwick Hall
Santa Sofia a Via Boccea,Category:Interior of Saint Sophia Cathedral in Rome
Kingston Lacy,Category:Interior of Kingston Lacy
Kingston Lacy,Category:Interior of Kingston Lacy
Cathedral of the Archangel,Category:Interior of Cathedral of the Archangel in Moscow
Cathedral of the Archangel,Category:Interior of Cathedral of the Archangel in Moscow
Iglesia de San Francisco de Asís,"Category:Interior of the Iglesia de San Francisco de Asís, Santa Cruz de Tenerife"
Church of All Nations,Category:Interior of the Church of All Nations (Jerusalem)
Basilica of Saints Plechelm Wiro-and-Otger,"Category:Interior of Basiliek van Wiro, Plechelmus en Otgerus, Sint Odilienberg"
Castle Drogo,Category:Interior of Castle Drogo
Saint Isaac's Cathedral,Category:Interior of Saint Isaac's Cathedral
San Patrizio,Category:Interior of San Patrizio a Villa Ludovisi (Rome)
Santa Maria del Mar,Category:Interior of Santa Maria del Mar
Basilica of Candelaria,Category:Interior of the Basílica de Nuestra Señora de la Candelaria
Uspenski Cathedral,Category:Interior of Uspenski Cathedral
