Subject,Object
Prometheus,Chimaereus
Moses,Gershom
Moses,Gershom
Moses,Gershom
Moses,Gershom
Moses,Eliezer
Moses,Eliezer
Moses,Eliezer
Moses,Eliezer
Aegina,Aeacus
Ares,Lord Conquest
Baldur,Forseti
Baldur,Forseti
Joseph,Ephraim
Nereus,Calypso
Nereus,Calypso
Rama,Lava
Sita,Lava
Rama,Lava
Rhea,Ceres
David,Absalom
David,Ibhar
Corcyra,Alcinous
Tethys,Hippo
Tethys,Asterope
Trigon,Raven
Trigon,Raven
Oceanus,Zeuxo
Oceanus,Eridanos
Asterodeia,Absyrtus
Asterodeia,Absyrtus
Thor,Móði
Thor,Móði
Epimetheus,Pyrrha
Madame Rouge,Gemini
