Subject,Object
2nd Ukrainian Front,World War II
Bryansk Front,World War II
Transbaikal Front,World War II
Volkhov Front,World War II
North Caucasian Front,World War II
1st Ukrainian Front,World War II
Sd.Kfz. 247,World War II
OA vz. 30,World War II
Guy Armoured Car,World War II
OA vz. 27,World War II
Fighter Wing 4,World War II
Jagdgeschwader 72,World War II
No. 62 Wing RAAF,World War II
29th U-boat Flotilla,World War II
26th U-boat Flotilla,World War II
2nd U-boat Flotilla,World War II
11th U-boat Flotilla,World War II
Armia Krajowa,World War II
Hungarian Front,World War II
Mouvement National Royaliste,World War II
Norwegian resistance movement,World War II
