Subject,Object
playing children,Switzerland
zodiac signs,Switzerland
untitled,Switzerland
flying geese,Switzerland
playing children,Switzerland
untitled,Switzerland
Barrage du Châtelot,Switzerland
Eisstadion Biel,Switzerland
Stadtbefestigung: Torhaus bei Brücke; Stadtmauer; Hexenturm;Lenzburger Tor mit Zeitturm,Switzerland
Lake Constance,Switzerland
Lake Neuchâtel,Switzerland
Lake Neuchâtel,Switzerland
Kongresshaus,Switzerland
Trolleybuses in Lucerne,Switzerland
Trolleybuses in St. Gallen,Switzerland
Trolleybuses in Biel/Bienne,Switzerland
1987 Plume d’Or,Switzerland
1978 Plume d’Or,Switzerland
1977 Plume d’Or,Switzerland
1948 Winter Olympics,Switzerland
Bergwerk Käpfnach,Switzerland
Padiimenenmipet-D 27,Switzerland
Male bust-MAHG Inv eg 12,Switzerland
Gotthelf memorial,Switzerland
Bust of Charles Bonnet-MAH 1825-0027,Switzerland
Bust of Jean-Jacques Rousseau-MAH 1825-0028,Switzerland
Ski jumping at the 1948 Winter Olympics,Switzerland
Nordic combined at the 1928 Winter Olympics,Switzerland
Carnival of Basel,Switzerland
Carnival of Basel,Switzerland
Neubrügg,Switzerland
Holzbrücke Wettingen-Neuenhof,Switzerland
Holzbrücke Bad Säckingen,Switzerland
Alte Rheinbrücke,Switzerland
Widmann fountain,Switzerland
fountain Muristalden,Switzerland
Thunstrasse fountain,Switzerland
Marzili fountain,Switzerland
drinking fountain Helvetiaplatz,Switzerland
water play on the Bundesplatz,Switzerland
Villa Stucki fountain,Switzerland
Steinhölzli fountain,Switzerland
Thunstrasse fountain,Switzerland
outer Laupenstrasse fountain,Switzerland
Speichergasse fountain,Switzerland
Reservoir fountain,Switzerland
fountain Nydegghöfli,Switzerland
Swiss Transport Museum,Switzerland
Fort Reuenthal,Switzerland
Kunst Museum Winterthur,Switzerland
Botanical Garden of the University of Zurich,Switzerland
Villa Flora,Switzerland
Sárospatak,Hungary
Csongrád,Hungary
Ács,Hungary
Komárom,Hungary
Vác,Hungary
Nyíregyháza,Hungary
Kiskunfélegyháza,Hungary
Szekszárd,Hungary
Zalaegerszeg,Hungary
Pécs,Hungary
Veszprém,Hungary
Dunaújváros,Hungary
Esztergom,Hungary
Kaposvár,Hungary
Békéscsaba,Hungary
Salgótarján,Hungary
Fisherman's Bastion,Hungary
1984 Nehru Cup,Hungary
Nyesettvár,Hungary
Bóbita Bábszínház,Hungary
Budapest Bábszínház,Hungary
Békásmegyer Explosion,Hungary
Hungarian Front,Hungary
"Saint Nicholas Church, Vasszilvágy",Hungary
Episcopal Palace,Hungary
Petrus Canisius church,Hungary
Chaussée des Almadies,Senegal
Bitola inscription,First Bulgarian Empire
Sakassou,Ivory Coast
Jaqueville department,Ivory Coast
Dabakala Department,Ivory Coast
Bondoukou Department,Ivory Coast
1963 Uber Cup,United States of America
Lincoln Township,United States of America
Risley Township,United States of America
Clifford Township,United States of America
Centre Township,United States of America
Fastlane,United States of America
Elimination Chamber,United States of America
Royal Rumble,United States of America
NXT TakeOver: Phoenix,United States of America
"TLC: Tables, Ladders & Chairs",United States of America
NXT TakeOver: WarGames,United States of America
NXT TakeOver: Brooklyn 4,United States of America
USS Kansas City,United States of America
Delta Queen,United States of America
Delta King,United States of America
Illinois Department of Corrections,United States of America
Florida Department of Corrections,United States of America
Connecticut Department of Correction,United States of America
California Department of Corrections and Rehabilitation,United States of America
Montgomery County Council,United States of America
Hepplewhite,United States of America
University of New Hampshire School of Law,United States of America
University of Montana School of Law,United States of America
University of Massachusetts School of Law,United States of America
University of Kentucky College of Law,United States of America
University of Idaho College of Law,United States of America
Journal of the International AIDS Society,United States of America
Florida Entomologist,United States of America
Angle Orthodontist,United States of America
AIP Advances,United States of America
Optics Express,United States of America
WrestleMania 2,United States of America
WrestleMania III,United States of America
WrestleMania 2,United States of America
WrestleMania III,United States of America
WrestleMania 2,United States of America
WrestleMania III,United States of America
WrestleMania 2,United States of America
WrestleMania III,United States of America
WrestleMania IV,United States of America
WrestleMania III,United States of America
WrestleMania IV,United States of America
WrestleMania III,United States of America
WrestleMania IV,United States of America
WrestleMania III,United States of America
White Flint Mall,United States of America
Kootenai National Forest,United States of America
Gila National Forest,United States of America
Flathead National Forest,United States of America
Malheur National Forest,United States of America
Siuslaw National Forest,United States of America
Chugach National Forest,United States of America
Custer National Forest,United States of America
Olympic National Forest,United States of America
Sam Houston National Forest,United States of America
Uwharrie National Forest,United States of America
Granite LDS Ward Chapel-Avard Fairbanks Studio,United States of America
African Meeting House,United States of America
Russian Bishop's House,United States of America
Trinity Meadows Race Track,United States of America
Meadowlands Racetrack,United States of America
Hamakua Marsh,United States of America
Alakaʻi Swamp,United States of America
Congaree River Swamp,United States of America
First inauguration of Richard Nixon,United States of America
First inauguration of Ulysses S. Grant,United States of America
First inauguration of Thomas Jefferson,United States of America
first inauguration of Theodore Roosevelt,United States of America
First inauguration of Harry S. Truman,United States of America
2007 Boston Open Badminton Championships,United States of America
2005 Boston Open Badminton Championships,United States of America
1997 Boston Open Badminton Championships,United States of America
2019 Boston Open Badminton Championships,United States of America
30th Street Station,United States of America
Staunton River State Park,United States of America
Occoneechee State Park,United States of America
Hungry Mother State Park,United States of America
Staunton River State Park,United States of America
Leesylvania State Park,United States of America
Kiptopeke State Park,United States of America
James River State Park,United States of America
Hungry Mother State Park,United States of America
High Bridge Trail State Park,United States of America
First Landing State Park,United States of America
Fairy Stone State Park,United States of America
Douthat State Park,United States of America
United States Department of Health and Human Services,United States of America
Cheyenne County,United States of America
Hinsdale County,United States of America
La Plata County,United States of America
Dolores County,United States of America
Logan County,United States of America
Phillips County,United States of America
Kit Carson County,United States of America
Summit County,United States of America
Mesa County,United States of America
Delta County,United States of America
Conejos County,United States of America
Mineral County,United States of America
Alamosa County,United States of America
Diablo Dam,United States of America
Kansas Senate,United States of America
New York State Senate,United States of America
Alabama Senate,United States of America
Georgia State Senate,United States of America
California State Senate,United States of America
New Jersey Senate,United States of America
Pennsylvania State Senate,United States of America
Vermont Senate,United States of America
Maine Senate,United States of America
Arizona Senate,United States of America
Arkansas Senate,United States of America
Texas Senate,United States of America
Utah State Senate,United States of America
South Dakota Senate,United States of America
Arapahoe County,United States of America
Baca County,United States of America
Las Animas County,United States of America
Conejos County,United States of America
Costilla County,United States of America
Sedgwick County,United States of America
Hinsdale County,United States of America
Baca County,United States of America
Cheyenne County,United States of America
Baca County,United States of America
Dallas–Fort Worth metroplex,United States of America
Dallas–Fort Worth metroplex,United States of America
Grand Army of the Republic Cemetery,United States of America
2006 NBA Playoffs,United States of America
1986 NBA Playoffs,United States of America
1977 NBA Playoffs,United States of America
1989 NBA Playoffs,United States of America
1999 NBA Playoffs,United States of America
Shippan Point,United States of America
Library of Congress authority ID,United States of America
Aloha Township,United States of America
Almont Township,United States of America
Almira Township,United States of America
Almena Township,United States of America
Allouez Township,United States of America
Allis Township,United States of America
Allen Township,United States of America
Allegan Township,United States of America
Algoma Township,United States of America
Algansee Township,United States of America
Alcona Township,United States of America
Albion Township,United States of America
Maumee Bay State Park,United States of America
Malabar Farm State Park,United States of America
Little Miami Scenic Trail,United States of America
Lake White State Park,United States of America
Lake Loramie State Park,United States of America
Women's Basketball Hall of Fame ID,United States of America
Basketball-Reference.com WNBA coach ID,United States of America
Basketball-Reference.com WNBA player ID,United States of America
Women's Collegiate Tennis Hall of Fame ID,United States of America
Basketball-Reference.com WNBA player ID,United States of America
Women's Collegiate Tennis Hall of Fame ID,United States of America
Cooper Township,United States of America
Coloma Charter Township,United States of America
Clayton Township,United States of America
China Township,United States of America
Cascade Township,United States of America
Crater Lake,United States of America
Buckhart Township,United States of America
Chandlerville Township,United States of America
Gold Hill Township,United States of America
Cuba Township,United States of America
Bremen Township,United States of America
Bonus Township,United States of America
Irishtown Township,United States of America
Indian Point Township,United States of America
Nameoki Township,United States of America
Woodland Township,United States of America
Montgomery Township,United States of America
Nettle Creek Township,United States of America
Sparta Township,United States of America
Hutton Township,United States of America
Adams County,United States of America
Allegheny County,United States of America
Delaware County,United States of America
Chester County,United States of America
Montour County,United States of America
Santa Fe High School shooting,United States of America
16th Street Baptist Church bombing,United States of America
Wall Street bombing,United States of America
Boston Marathon bombings,United States of America
2017 Port Authority Bus Terminal explosion,United States of America
Gormley,United States of America
Roy H,United States of America
Forever Unbridled,United States of America
Oscar Performance,United States of America
Samitar,United States of America
Good Magic,United States of America
Most Happy Fella,United States of America
More So,United States of America
Gunnevera,United States of America
Tamarkuz,United States of America
Bowie Mill Park,United States of America
Strathmore Park,United States of America
Saddlebrook Park,United States of America
Quebec Terrace Park,United States of America
Glenfield Park,United States of America
Georgian Forest Park,United States of America
MTV,United States of America
TechTV,United States of America
FXX,United States of America
ESPN,United States of America
Holberton School,United States of America
Gulliver Schools,United States of America
Wayne County RESA,United States of America
Marietta,United States of America
Atlanta,United States of America
Savannah,United States of America
Atlanta,United States of America
Macon,United States of America
Atlanta,United States of America
Savannah,United States of America
2017 Super High Roller Bowl,United States of America
2017 High Roller for One Drop,United States of America
Super High Roller Bowl V,United States of America
2014 Big One for One Drop,United States of America
USS Natick,United States of America
USS Natahki,United States of America
USS Nanticoke,United States of America
USS Muskegon,United States of America
USS Mishawaka,United States of America
USS Mecosta,United States of America
USS Mascoutah,United States of America
USS Manistee,United States of America
USS Kittaton,United States of America
USS Kittanning,United States of America
USS Keokuk,United States of America
USS Ganadoga,United States of America
ABX Air,United States of America
Menoken Indian Village Site,United States of America
Goosenecks State Park,United States of America
Coral Pink Sand Dunes State Park,United States of America
Kodachrome Basin State Park,United States of America
Dead Horse Point State Park,United States of America
Tyler County,United States of America
Hidalgo County,United States of America
Real County,United States of America
Hardin County,United States of America
Bouchon,United States of America
ARIA Patisserie,United States of America
MGM Grand Las Vegas,United States of America
Vdara,United States of America
Walt Disney World Resort,United States of America
Blue Harbor Resort,United States of America
Walt Disney World Resort,United States of America
Palms Casino Resort,United States of America
Excalibur Hotel and Casino,United States of America
MGM Grand Las Vegas,United States of America
Claremont Hotel & Spa,United States of America
Excalibur Hotel and Casino,United States of America
MGM Grand Las Vegas,United States of America
United States Department of Education,United States of America
Michigan State University,United States of America
Cornell University,United States of America
University of Massachusetts Amherst,United States of America
Cornell University,United States of America
"University of California, Berkeley",United States of America
Texas A&M University,United States of America
"University of California, Berkeley",United States of America
West Virginia University,United States of America
"University of California, Berkeley",United States of America
North Carolina State University,United States of America
University of Alaska Fairbanks,United States of America
North Carolina State University,United States of America
Cornell University,United States of America
Texas A&M University,United States of America
Marjory Stoneman Douglas High School shooting,United States of America
Pittsburgh synagogue shooting,United States of America
"Aberdeen, Maryland shooting",United States of America
Jacksonville Landing shooting,United States of America
Marjory Stoneman Douglas High School shooting,United States of America
Sutherland Springs church shooting,United States of America
2017 Las Vegas shooting,United States of America
2017 Congressional baseball shooting,United States of America
Cesnola krater,United States of America
Terracotta aryballos signed by Nearchos,United States of America
Terracotta amphora,United States of America
Cesnola krater,United States of America
Sierra Army Depot,United States of America
Parks Reserve Forces Training Area,United States of America
Fort Hoskins,United States of America
Gary Air Force Base,United States of America
Fort Robert Smalls,United States of America
Fort Laughlin,United States of America
Havre Air Force Station,United States of America
Glasgow Air Force Base,United States of America
Hereford Army Airfield,United States of America
Fort Yuma,United States of America
Naval Live Oaks Reservation,United States of America
Steenerson Township,United States of America
Shelby Township,United States of America
Judson Township,United States of America
Sterling Township,United States of America
Lincoln Township,United States of America
Idun Township,United States of America
Pliny Township,United States of America
Nordland Township,United States of America
Malmo Township,United States of America
Havelock Township,United States of America
Rheiderland Township,United States of America
Rosewood Township,United States of America
Lac qui Parle Township,United States of America
Manchester Township,United States of America
United States Ram Fleet,United States of America
United States Pacific Fleet,United States of America
Lincoln County,United States of America
Stevens County,United States of America
Lincoln County,United States of America
San Juan County,United States of America
Lewis County,United States of America
Grant County,United States of America
Clark County,United States of America
Pierce County,United States of America
Lincoln County,United States of America
Jewish Children's Museum,United States of America
St. George Children's Museum,United States of America
Children's Museum of Phoenix,United States of America
Beaumont Children's Museum,United States of America
Children's Museum of Science and Technology,United States of America
Omaha Children's Museum,United States of America
Sacramento Children's Museum,United States of America
Glazer Children’s Museum,United States of America
Explore & More Children's Museum,United States of America
The Thinkery,United States of America
Mid-Hudson Children's Museum,United States of America
Children's Museum of Richmond,United States of America
Children's Museum of Houston,United States of America
Children's Museum of Los Angeles,United States of America
Children's Museum of Cleveland,United States of America
2014 Caribbean Cup,United States of America
Big Cleaninghole,United States of America
1975 NBA Playoffs,United States of America
1985 NBA Playoffs,United States of America
1980 NBA Playoffs,United States of America
1978 NBA Playoffs,United States of America
G&L Musical Instruments,United States of America
Chesbro Music Company,United States of America
Upper New York Bay,United States of America
Upper New York Bay,United States of America
Kawainui and Hamakua Marsh Complex,United States of America
Modesto metropolitan statistical area,United States of America
Stockton metropolitan statistical area,United States of America
San Jose–Sunnyvale–Santa Clara metropolitan statistical area,United States of America
Texarkana metropolitan area,United States of America
Poynter Institute,United States of America
CUNY Graduate School of Journalism,United States of America
Walter Lemke Department of Journalism,United States of America
Walter Cronkite School of Journalism and Mass Communication,United States of America
Papahānaumokuākea Marine National Monument,United States of America
Rose Atoll Marine National Monument,United States of America
Marianas Trench Marine National Monument,United States of America
Library of Congress authority ID,United States of America
Rotten Tomatoes ID,United States of America
Society for Immunotherapy of Cancer,United States of America
Tandem Productions,United States of America
Beach Hotel,United States of America
Disney's Yacht Club Resort,United States of America
Disney's Coronado Springs Resort,United States of America
Disney's Contemporary Resort,United States of America
Palms Casino Resort,United States of America
Excalibur Hotel and Casino,United States of America
Universal Orlando Resort,United States of America
2017 Port Authority Bus Terminal explosion,United States of America
2016 New York and New Jersey bombings,United States of America
Wisconsin's 11th congressional district,United States of America
Wisconsin's 10th congressional district,United States of America
West Virginia's at-large congressional seat,United States of America
West Virginia's 6th congressional district,United States of America
West Virginia's 5th congressional district,United States of America
Washington's at-large congressional district,United States of America
Virginia's at-large congressional seat,United States of America
Virginia's 22nd congressional district,United States of America
Virginia's 21st congressional district,United States of America
Virginia's 20th congressional district,United States of America
Virginia's 19th congressional district,United States of America
Virginia's 18th congressional district,United States of America
Weston Lake,United States of America
Brooklyn Heights Historic District,United States of America
1896 United States presidential election in Arkansas,United States of America
American Samoa House of Representatives,United States of America
Hot Springs County,United States of America
Fremont County,United States of America
Albany County,United States of America
Carbon County,United States of America
