Subject,Object
Teapot,Louis Rorimer
Teapot,Nathaniel Hurd
Teapot,Louis Rorimer
Lincos,Hans Freudenthal
Modern Art,Arthur Wesley Dow
Victor Emmanuel II,Giulio Monteverde
Cyborg,Marv Wolfman
Cyborg,Marv Wolfman
Wounded horse,Jean-Louis-Ernest Meissonier
Dancing Muse,Jean-Louis-Ernest Meissonier
The trumpet of Murcie,Jean-Louis-Ernest Meissonier
General Duroc at Castiglione,Jean-Louis-Ernest Meissonier
Gladiator with sword,Jean-Louis-Ernest Meissonier
Naked man or gladiator,Jean-Louis-Ernest Meissonier
Tulip,William Morris
Snakeshead,William Morris
Mixteca Series #12,Evelyn Svec Ward
Mixteca Series #12,Evelyn Svec Ward
Mixteca Series #12,Evelyn Svec Ward
The Serpent Chooses Adam and Eve,George Cohen
Statue of Adoniran Barbosa,Luís Morrone
José Augusto César Salgado,Luís Morrone
Carolina Ribeiro,Luís Morrone
Aureliano Leite,Luís Morrone
Ghent Altarpiece,Jan van Eyck
Ghent Altarpiece,Jan van Eyck
Family Feud,Mark Goodson
Bolak,Léon Bollack
Wonder Woman,Elizabeth Holloway Marston
Wonder Woman,H. G. Peter
Thé Rajah,Henri Meunier
Carta Geral do Estado de São Paulo,Valdemar Lefèvre
Carta Geral do Estado de S. Paulo,João Pedro Cardoso
Carta Geologica do Estado de S. Paulo,João Pedro Cardoso
Carta Geral do Estado de S. Paulo,João Pedro Cardoso
Carta Geral do Estado de São Paulo,João Pedro Cardoso
Carta Geral do Estado de São Paulo,João Pedro Cardoso
Carta Geral do Estado de S. Paulo,João Pedro Cardoso
Kylix by the Providence Painter,Greek vase-painter
Kylix by the Providence Painter,Greek vase-painter
Kylix by the Providence Painter,Greek vase-painter
Tapestries of the Gods,Claude Audran III
The Gods,Claude Audran III
In Plenty,Mari Syrén
In Plenty,Mari Syrén
4 Gats,Ramón Casas
Untitled,Lou Jones
Untitled,Lenore Tawney
Astrolabe: Stellar Compass,Edward Ayearst Reeves
2025,Yoram Zack
Poliespo,Billy Ray Waldon
Professor Hamilton,Jerry Ordway
Lisa Simpson,Matt Groening
Bart Simpson,Matt Groening
Cycles Perfecta,Alphonse Mucha
Fulls de la vida,Santiago Rusiñol
Equestrian statue of Dom Pedro I,João Maximiano Mafra
Mapa de Estradas de Rodagem,Associação Paulista de Boas Estradas
untitled,Karl Schenk
"Statue of Godfrey, First Viscount Tredegar",William Goscombe John
Rickon Stark,George R. R. Martin
Dothraki language,George R. R. Martin
History of Medea and Jason,Jean François de Troy
Atlantean,Marc Okrand
Cup,Peter Bateman
Cup,J. Guyonnet
Cocktails and Cigarettes Punch Bowl,Viktor Schreckengost
Blissymbols,Charles K. Bliss
Blissymbols,Charles K. Bliss
Planta do Sitio do Piquiry,Pio Angelo
Appliqué inv. 848,Fábrica de blondas y encajes Castells
Lingua Ignota,Hildegard of Bingen
Lingua Ignota,Hildegard of Bingen
Tiger devouring a gazelle,Antoine-Louis Barye
Tiger devouring a gazelle,Antoine-Louis Barye
Vase,Émile Gallé
Pitcher,Émile Gallé
Vase,Émile Gallé
Vase,Louis Comfort Tiffany
Vase,Walter Crane
Vase,Edward Lycett
Neck Amphora by Exekias,Exekias
Grandmother's Colour Button Collection,Katja Syrjä
Complete Fragment #9,Olga de Amaral
Complete Fragment #9,Olga de Amaral
Complete Fragment #9,Olga de Amaral
Judy Jetson,Hanna-Barbera
Cycles et Automobiles Legia,Georges Gaudy
Cycles et Automobiles Legia,Georges Gaudy
Cesnola krater,Cesnola Painter
Cesnola krater,Cesnola Painter
Princess Leia,George Lucas
Qui-Gon Jinn,George Lucas
Princess Leia,George Lucas
Qui-Gon Jinn,George Lucas
Seven Sorrows Polyptych,Albrecht Dürer
Seven Sorrows Polyptych,Albrecht Dürer
The Story of Marie de Medici,Peter Paul Rubens
Skyphos,Painter of Naples 146751
Conan the Barbarian,Robert E. Howard
scenes from the New Testament,Marcel Perincioli
scenes from the Passion of Christ,Marcel Perincioli
Salon Pedal,Alexandre de Riquer
Astrolabe-Quadrant: Sutton-type,Henry Sutton
Astrolabe-Quadrant: Sutton-type,Walter Hayes
Astrolabe-Quadrant: Sutton-type,Henry Sutton
Llibre d'Horas,Adrià Gual
Lagôa Dourada . Commissão Geographica e Geologica de Minas Gerais Flha. Nº. 27,Alvaro da Silveira
Four Tapestries from 'The Months of Lucas',Lucas van Leyden
In Blue,Jim Hodges
attic geometric Neck amphora,Workshop of Athens 894
Monumento ai Caduti,Enrico Manfrini
Monumento ai Caduti,Enrico Manfrini
male figure,Gustave Piguet
Création,Gustave Piguet
Inspiration,Gustave Piguet
The Child Gardeners,Charles Le Brun
The Muses,Charles Le Brun
Die Trauernde,Gerhard Marcks
Peony,Kate Faulkner
Marquess of Linlithgow Memorial,William Birnie Rhind
Return of the prodigal son-Clémence Sophie de Sermezy-MG 4738,Clémence Sophie de Sermézy
Monument of the Five Days of Milan,Giuseppe Grandi
Cocorico,Théophile Steinlen
Cocorico,Théophile Steinlen
Bottle,Howard Kottler
Terracotta aryballos signed by Nearchos,Nearchos
Black Speech,J. R. R. Tolkien
"Musée Saint-Raymond, 26422",anonymous
"Musée Saint-Raymond, 26422",anonymous
Sphinx of king Siamon-E 3914,anonymous
Lady Henen-E 33145,anonymous
Amenophis II-E 3176,anonymous
Sphinx of king Siamon-E 3914,anonymous
Wadjet-E 4720,anonymous
Horses Amphora,anonymous
Attic black-figure votive plate,anonymous
Horses Amphora,anonymous
Horses Amphora,anonymous
Astrolabe-Quadrant: Gunter-type,Daniel Harris
Astrolabe-Quadrant: Universal Horizon/Azimuth,anonymous
Astrolabe-Quadrant: Gunter-type,anonymous
"Musée Saint-Raymond, 26369",anonymous
"Musée Saint-Raymond, 26395",anonymous
"Musée Saint-Raymond, 26369",anonymous
Coin,anonymous
"Musée Saint-Raymond, 2000 14 129",anonymous
Coin,anonymous
"Musée Saint-Raymond, 2000 14 129",anonymous
Border of Heads and Palmettes from a Large Hanging,anonymous
Border of Heads and Palmettes from a Large Hanging,anonymous
Sphinx of king Siamon-E 3914,anonymous
Wadjet-E 4720,anonymous
Wepwawet-AF 287,anonymous
couple,Karl Hänny
Ido,Louis de Beaufront
Napoleon I,Emmanuel Frémiet
Napoleon I,Emmanuel Frémiet
Toki Pona,Sonja Lang
Saturday Night Live,Lorne Michaels
Cable,Louise Simonson
Elephants,Raoul Dufy
Eretz Nehederet,Muli Segev
Plate with the Arms of the Pucci Family,Francesco Xanto Avelli
