Subject,Object
Øresund Bridge,2000-07-01
Korso railway station,1889-01-01
Charing Cross tube station,1906-01-01
Western Hall,1964-01-01
West Ham station,1901-01-01
Botanical Garden of the University of Zurich,1833-01-01
Wapping railway station,2010-01-01
Wapping railway station,2010-01-01
Mainz Finthen Airport,1939-01-01
Cottbus-Drewitz Airport,1939-01-01
Wuhu Yangtze River Bridge,2000-09-30
UNF Arena,1993-01-16
Binnenhof,1983-05-28
Romeynshof,1983-05-28
Graskruid,1983-05-28
Prinsenlaan,1983-05-28
Graskruid,1983-05-28
Oosterflank,1983-05-28
The Dorchester,1931-01-01
Lotte World Tower,2016-01-01
Kūkō Line,1981-07-26
Bank and Monument stations,1884-01-01
Line S9,2004-12-24
Dom Luís I Bridge,1886-01-01
Dom Luís I Bridge,1886-01-01
Kassel-Wilhelmshöhe station,1991-05-29
Kassel-Wilhelmshöhe station,1991-05-29
Four Lane Ends Interchange,1980-08-11
Line 13,2002-09-22
Line 1,2010-09-27
Aldwych tube station,1907-11-30
Aldwych tube station,1907-11-30
Aliante Casino and Hotel,2008-11-11
S1,1985-01-01
Cadet Ice Arena,1968-01-01
Tamsui Line,1901-08-25
Tamsui Line,1901-08-25
Furusato Ginga Line,1910-09-22
Luxor Resort & Casino,1993-10-15
Kajaani railway station,1905-01-01
VTB Arena,2019-07-06
Berlin-Spandau station,1910-07-15
Linnahall,1980-01-01
Nationaltheatret Station,1980-01-01
Giske Bridge,1987-01-01
Union Depot,1902-01-01
Leipzig-Altenburg Airport,1913-01-01
InterContinental Amstel Amsterdam,1867-01-01
Line 7,2017-12-06
Gerickesteg,1915-01-01
Pijnacker Centrum,2006-09-10
Line 9,2011-12-31
Meijō Line,1965-10-15
PPG Paints Arena,2010-08-18
Ponto do Pocinho,1909-07-04
patinoire de Caen la mer,1971-12-01
Surrey Quays railway station,1869-01-01
Namboku Line,1987-07-15
Namboku Line,1971-01-01
Shayba Arena,2013-01-01
Shayba Arena,2013-01-01
Bitburg Airport,1952-01-01
Berlin-Lichtenberg station,1881-01-01
Straubing Wallmühle Airport,1972-01-01
patinoire René Froger,1968-12-22
Jyväskylä railway station,1897-01-01
Osaka Metro Chūō Line,1961-12-11
Kunst Museum Winterthur,1951-01-01
Pegasus Bridge,1934-01-01
Nuremberg Central Station,1844-01-01
Hamburg-Altona station,1844-01-01
Waterloo tube station,1898-01-01
Berlin Südkreuz station,1896-01-01
Ambachtsland,1984-04-24
Ambachtsland,1984-04-24
Victoria tube station,1868-12-24
patinoire de Mériadeck,1981-01-01
José Augusto César Salgado,1981-01-01
Line 8,2008-07-19
Capital Airport Express,2008-07-19
Milano Porta Garibaldi,1997-12-21
Den Haag Laan van NOI railway station,1907-05-01
FIU Arena,1986-02-01
München Ost station,1871-03-15
München Ost station,1871-03-15
Excalibur Hotel and Casino,1990-06-19
Parc des Princes,1972-05-25
Nationwide Arena,2000-09-09
Nayoro Main Line,1915-11-01
Tianxingzhou Yangtze River Bridge,2009-12-26
Xindian railway line,1921-01-22
Fredhällsbron,1966-08-21
Aldford Iron Bridge,1824-01-01
Memorial Athletic and Convocation Center,1950-12-02
Swiss Transport Museum,1959-01-01
American Airlines Center,2001-07-17
Rheinstadion,1925-01-01
Woosung Road,1875-07-01
Caiyuanba Bridge,2007-10-29
Longbenton metro station,1947-07-14
Giebelstadt Airport,1936-09-17
Taipei Arena,2005-01-01
White Auditorium,1941-01-01
Columbia Center,1985-03-02
Allendorf Airport,1966-01-01
Changjiangyuan bridge,2006-07-01
Carolina Ribeiro,1982-01-01
Rügen Airport,1982-01-01
Morrison Bridge,1958-05-24
Vaillant Arena,1979-01-01
Aureliano Leite,1979-01-01
Lakhta Center,2018-06-30
MGM Grand Las Vegas,1993-12-18
Leidschenveen,2006-10-29
Wembley Stadium,1923-04-28
Wembley Stadium,1923-04-28
S2,1984-01-01
Meijersplein,2010-05-17
S45,1993-01-01
Jiujiang Yangtze River Bridge,1993-01-01
Jiujiang Yangtze River Bridge,1993-01-01
Ziegelgraben Bridge,1935-07-01
Fort Reuenthal,1989-01-01
Regent Centre Interchange,1981-05-10
Regent Centre Interchange,1981-05-10
Suncoast Hotel and Casino,2000-09-12
Kaigan Line,2001-06-07
Esashi Line,1913-09-15
Kaufbeuren–Schongau railway,1922-04-01
Kaufbeuren–Schongau railway,1922-04-01
Hohenzollern Bridge,1911-05-01
S25,1995-01-01
Villa Flora,1995-01-01
Puumalansalmi Bridge,1995-10-31
Line 10,2012-12-30
Changying station,2012-12-30
Hamburg Dammtor station,1866-01-01
Hamburg Dammtor station,1866-01-01
Hamburg Dammtor station,1866-01-01
Canning Town,1999-01-01
Tempoku Line,1914-01-01
Robert F. Kennedy Memorial Stadium,1961-10-01
University Avenue Bridge,1930-01-01
