Subject,Object
NGC 3263,-44.1229222
Mahtessian 56,50.40472
KIC 5024043,40.1077988735493
[FK2002] 6,-1.70009
NGC 6120,37.7743564787589
2MASS J18314638-0210403,-2.1778784191483
2MASS J08294046-4251430,-42.8618845609142
ULAS J1342+0928,9.4773
NGC 541,-1.3794972
MLCG 1580,27.02333
NGC 1140,-10.0286487737165
ASASSN -14gz,33.070588
VV 699,-11.1233
OGLE SMC-SC9 27258,-72.5102253639099
Alpha² Canum Venaticorum,38.31837614167
NGC 1875,6.6889444
OGLE SMC-SC9 73218,-72.4989239467464
NGC 3242,-18.6423040096419
2MASS J07323341+7241408,72.6946793274744
[CWB2011] WLTV J045356.04-030619.7,-3.1055439098139
2MASS J17532059+2516492,25.2803153973985
SDSS J165236.28+460515.1,46.0874833
HAT-P-7,47.96950451412389
SDSSCGA 574,29.42111
HD 92207,-58.7333375906908
HD 92207,-58.7333375906908
2MASS J06302940+0504123,5.0701059070647
NGC 3446,-45.13917
Tupi,-52.91583781860305
[FK2002] 84,3.46
NGC 455,5.1787528
CTA-102,11.730806686583
[T98b] 70,7.25056
2MASS J06310608+0457529,4.9647151567314
SV* HV 877,-67.9951640970723
NGC 3110,-6.4747556
USGC U468,15.35583
NGC 3256,-43.9037639
[CWB2011] WLTV J160429.34+431016.8,43.1714936444281
[FK2002] 229,9.5417
HD 89744,41.22953020964722
[SS2011b] F1-37502,54.35431731
Messier 82,69.6797028
V* EU Dra,63.873889534262
2MASS J21402588+5815262,58.2573114734802
NGC 2633,74.0986200363877
[GBN2014] 31,-54.3905
2MASS J14382831+8229397,82.4943430280491
Huchra's lens,3.35825
2MASS J21402500+5816106,58.2696421422458
Gumala,-24.17935371455056
[GBN2014] 34,-53.2737
[HS80] B182,30.5892757274005
Gliese 412,43.526775397
KIC 5111949,40.219698837432
HD 154345,47.08187852193139
[MMF2013] F2 ch2-2-s0032,54.33918
Rho Geminorum,31.784549252
NGC 123,-1.627631
28 Cancri,24.1449147564234
Gamma Capricorni,-16.66230755111
Gamma Capricorni,-16.66230755111
KIC 5200152,40.3623533847825
Circinus Galaxy,-65.3390194
SV* HV 2031,-72.3013672888294
Kapteyn's Star,-45.01843165440945
[MMF2013] F2 ch2-1-s0020,54.36118
SDSS J081855.21+300253.5,30.0482480858776
Gliese 777,29.89680425861
Sunflower Galaxy,42.0293683550047
MLCG 0619,19.194862
[CWB2011] WLTV J045346.27-030329.0,-3.0581467926812
Mu Arae,-51.83405306920083
Gamma Leporis,-22.44838354528
DS Crucis,-60.3297872096459
[SXY2015] 21,62.3919
RSCG 80,-31.93028
Messier 61,4.473774537722
Messier 61,4.473774537722
[SS2011b] F2-5628,54.327
KIC 7900418,43.674958083024
AB Aurigae,30.5511925781404
V* GR Dra,59.0353469052819
CD-60 6745,-61.0369057516134
KIC 4937056,40.0974687366127
NGC 281,56.565
9 Persei,55.8456532695542
V4381 Sagittarii,-21.4495593826805
V4381 Sagittarii,-21.4495593826805
NGC 2293,-26.7543611
Epsilon Coronae Australis,-37.107327014556
QW Puppis,-46.75930414222
NGC 2276,85.7545
OGLE 2013-SN-59,-68.4609935471093
[SSF98] V5,54.35148
