Subject,Object
Florida,Floridian
Burkina Faso,Burkinabe
Burkina Faso,Burkinabé
United Kingdom of Great Britain and Ireland,British
United Kingdom of Great Britain and Ireland,British
Egypt,Egyptian
Tunisia,Tunisian
Turkey,Turkish
Nigeria,Nigerian
Malawi,Malawian
Kingdom of Iraq,Iraqi
State of Palestine,Palestinian
Sahrawi Arab Democratic Republic,Sahrawi
Kingdom of Italy,Italian
Democratic Republic of the Congo,Congolese
Zimbabwe,Zimbabwean
Pridnestrovie,Pridnestrovian
Pridnestrovie,Pridnestrovian
Lesotho,Basotho
Central African Republic,Central African
Canada,Canadian
Niger,Nigerien
Zambia,Zambian
New Hampshire,New Hampshireman
Mexico,Mexican
Mexico,Mexican
Czech Republic,Czech
Botswana,Batswana
Massachusetts,Bay Stater
Massachusetts,Bay Stater
