Subject,Object
ZiS-3,Nizhny Novgorod Machine-building Plant
Omnia,Karlgeorg Hoefer
M1903 Springfield,Springfield Armory
7.5 cm leichtes Infanteriegeschütz 18,Rheinmetall AG
7.5 cm Pak 40,Rheinmetall AG
7.5 cm Gebirgsgeschütz 36,Rheinmetall AG
Haubitze M1,Rheinmetall AG
Univers,Adrian Frutiger
Bembo,Francesco Griffo
Comic Sans MS,Vincent Connare
Francesca,Lukyan Turetskyy
Type 38 75 mm Field Gun,Krupp
7.5 cm PaK 41,Krupp
21 cm Mörser 18,Krupp
sFH 18,Krupp
Corcaigh,Michael Everson
Ceanannas,Michael Everson
Diana and the Nymph Britomartis,Toussaint Dubreuil
Diana Kills the Children of Niobe,Toussaint Dubreuil
Diana Between the Giants,Toussaint Dubreuil
The Death of Chiore,Toussaint Dubreuil
M2,John Browning
Shelley,Matthew Carter
Diane,Roger Excoffon
Choc,Roger Excoffon
Klang,Will Carter
Caslon,William Caslon
Helvetica,Max Miedinger
