Subject,Object
Iglesia de San Isidoro,Roman Catholic Archdiocese of Oviedo
Bourg-en-Bresse Cathedral,Roman Catholic Diocese of Belley-Ars
St. Hedwig's Cathedral,Roman Catholic Archdiocese of Berlin
Jesuitenkirche,Roman Catholic Diocese of Trier
"Ascension Cathedral, Almaty",Category:Orthodox cathedral in Nur-Sultan
Church of the Anunciation,Roman Catholic Archdiocese of Seville
"St. Peter's Church, Munich",Roman Catholic Archdiocese of Munich and Freising
"St. Paul's Church, Munich",Roman Catholic Archdiocese of Munich and Freising
St. Benno's Church,Roman Catholic Archdiocese of Munich and Freising
"St. Michael's Church, Munich",Roman Catholic Archdiocese of Munich and Freising
Novocherkassk Cathedral,Diocese of Rostov and Novocherkassk
Saint George's Cathedral,Eparchy of Bačka
Lower Town Church,Roman Catholic Diocese of Münster
Gurk Cathedral,Roman Catholic Diocese of Gurk
Church of Saint John the Baptist,Roman Catholic Diocese of Brno
Church of Saint James the Greater,Roman Catholic Diocese of Brno
Church of the Exaltation of the Holy Cross,Roman Catholic Diocese of Brno
"Old Cathedral, Linz",Roman Catholic Diocese of Linz
St. Basil's Cathedral,Urban Diocese of Moscow
"Jesuit Church, Lucerne",Roman Catholic Diocese of Basel
Church of Saint Wenceslaus,Roman Catholic Archdiocese of Prague
Church of the Assumption of the Virgin Mary,Roman Catholic Archdiocese of Prague
Church of Saints Peter and Paul,Roman Catholic Archdiocese of Prague
Kościół św. Barbary w Krakowie,Roman Catholic Archdiocese of Kraków
Saints Peter and Paul Church,Roman Catholic Archdiocese of Kraków
Cathedral of Corfinio,Roman Catholic Diocese of Sulmona-Valva
Penne Cathedral,Roman Catholic Archdiocese of Pescara-Penne
"Kazan Cathedral, St. Petersburg",Saint Petersburg-Ladoga Eparchy
Metropolitan Cathedral of Athens,Archbishopric of Athens
Acquaviva Cathedral,Roman Catholic Diocese of Altamura-Gravina-Acquaviva delle Fonti
Co-cathedral of San Pedro,Roman Catholic Diocese of Osma-Soria
Church of St. George,Ecumenical Patriarchate of Constantinople
Church of St. George,Ecumenical Patriarchate of Constantinople
St. Peter's Parish Church,Roman Catholic Archdiocese of Ljubljana
Santi Simone e Giuda,Roman Catholic Diocese of Volterra
Cathedral of Saint Sava,Archeparchy of Belgrade and Karlovci
"Saint Nicholas Church, Vasszilvágy",Roman Catholic Diocese of Szombathely
"Church of San Francisco Javier, Tepotzotlán",Roman Catholic Diocese of Izcalli
Yelokhovo Cathedral,Moscow Eparchy
Dormition Cathedral,Diocese of Vladimir and Suzdal
Dormition Cathedral,Moscow Eparchy
Church of St. Denis,Roman Catholic Diocese of Liège
"Collegiate church of San Luis, Villagarcía de Campos",Roman Catholic Archdiocese of Valladolid
"Collegiate church of San Luis, Villagarcía de Campos",Roman Catholic Archdiocese of Valladolid
"Collégiate church Saint-Martin, Picquigny",Roman Catholic Diocese of Amiens
"Armenian Church, Gheorgheni",Ordinariate for Catholics of Armenian Rite in Romania
"Church of San Ildefonso, Toledo",Roman Catholic Archdiocese of Toledo
Basilica of Bom Jesus,Roman Catholic Archdiocese of Goa and Daman
Alexander Nevsky Cathedral,Sofia Eparchy
Alexander Nevsky Cathedral,Warsaw-Bielsko diocese
I Gesuiti,Patriarchate of Venice
St. Michael's Cathedral,Izhevsk eparchy
Episcopal Palace,Roman Catholic Diocese of Pécs
Church of Saint Nicholas,Roman Catholic Diocese of Litoměřice
Atri Cathedral,Roman Catholic Diocese of Teramo-Atri
Virklund Parish,Diocese of Århus
Kragelund,Diocese of Århus
Skivholme parish,Diocese of Århus
Hoed,Diocese of Århus
