Subject,Object
ESO 427-14,41.5
Gliese 208,11.4368
HD 208313,20.3988
NGC 7654 1010,1601.28
Gamma Doradus,20.4506
[GBN2014] 34,6.0
Rho Geminorum,18.1862
EC 01404-6752,2471.58
NGC 2293,17.06
TYC 1398-1797-1,1636.9291
NGC 2276,36.96
Gamma Capricorni,35.9746
Gamma Capricorni,35.9746
HD 192639,2597.4026
Cl* NGC 6811 SAN 255,900.9009
2MASS J07323341+7241408,110.5522
UCAC2 45858420,3143.6655
UGC 2994,48.31
NGC 7654 1042,1752.23
V897 Her,234.9569
TYC 5127-2055-1,739.6997
TYC 1601-1491-1,721.709
NGC 2232,325.0
2MASS J17532059+2516492,1780.6268
NGC 5238,4.51
Gumala,27.4789
HD 194279,1712.622
NGC 3263,40.83
Saiph,245.0
NGC 7320,18.11
1SWASP J222514.69+361643.0,2713.7042
NGC 2633,27.42
Messier 82,3.61
Cl* NGC 7654 CKK V16,1591.09
EC 21292-5934,1244.4
NGC 541,66.37
Gamma Leporis,8.8801
Rigel,860.0
KIC 7900418,3050.6406
HD 89744,38.6792
28 Cancri,100.9683
HD 195592,1740.9471
NGC 7654 835,1602.82
BD-16 248,443.892
BD+67 1030,1827.4854
HD 124237,476.758
NGC 2547,457.0
EC 04405-3211,1592.36
LP 415-345,48.9299
HD 175950,338.5011
LEDA 87205,122.5
HD 15239,683.247
CL Cam,163.87
NGC 7654 929,1813.24
NGC 455,70.42
BD-00 2299,943.5743
Alnilam,366.0
EC 22212-5915,2592.69
TYC 3002-501-1,1371.9303
HD 285497,1432.87
NGC 7214,100.8
TYC 694-1183-1,44.1567
EC 21366-3514,1205.4
V* EU Dra,278.6291
HD 96064,26.2381
1SWASP J011732.10+525204.9,3401.3605
EC 21171-1658,1039.61
EC 04386-5049,949.217
NGC 3256,40.1
[GBN2014] 31,4.2
TYC 1284-1056-1,44.1487
BD-04 3421,609.864
[SXY2015] 21,9.5
QW Puppis,20.8582
2MASS J20431402+1536021,1172.8829
EC 21306-4911,1303.27
[GBN2014] 72,2.7
1SWASP J160202.07+121213.5,211.0239
EC 21044-3149,1180.22
NGC 1875,122.53
HD 96248,2044.0
EC 04185-2212,799.552
DY Leo,44.0381
Messier 32,0.79
V* V709 Cyg,288.6503
39 Ceti,74.3345
NSV 1095,468.4938
TYC 1609-1518-1,56.6646
EC 21521-5752,1076.89
Alpha² Canum Venaticorum,37.6425
TYC 4479-446-1,664.8494
V* EW Dra,10.7645
EC 21281-5010,1518.37
ASAS J091748+1544.1,1349.3456
TYC 5518-774-1,317.6923
Alpha Caeli,20.3644
EC 23317-7354,1042.86
BD+44 1302,1450.3263
HD 352059,1592.864
UCAC4 437-017603,41.3548
EC 21381-2841,274.891
