Subject,Object
TYC 694-1183-1,3809
Gliese 174,4393
HD 201433,11885
V* V832 Ori,3558
KIC 6445601,6819
Ross 776,3099
G 115-42,3200
[MLF2014] 138261,7362
LP 275-68,3288
Epsilon Coronae Borealis,4436
Epsilon Coronae Borealis,4436
G 68-5,3482
V* LX Ori,4352
HD 73574,7662
BD-16 248,4720
V* V2657 Ori,3174
UCAC4 437-017603,3236
26 Draconis,5925
26 Draconis,5925
HD 45572,10495
HD 45572,10495
2MASS J19395696+4334456,4865
LP 415-345,3337
2MASS J19503280+4010153,4800
Delta Tauri3,8851
LP 229-30,2709
[MLF2014] 335837,7912
TYC 4479-446-1,4624
V* QW Tau,3233
V* V2341 Ori,3233
[MLF2014] 105432,8128
[MLF2014] 121380,8128
2MASS J05353270-0630181,3371
UCAC2 45858420,6251
TYC 4687-2279-1,4548
24 Ophiuchi,10000
V* MM Tau,4196
2MASS J19283666+4056278,4778
HD 82989,6693
WASP-8,5589
G 253-6,3400
BD-00 4470,4796
HD 223991,9550
HD 223991,9550
V* PS Tau,3387
[RHS2000] 1-1106,3185
TYC 1284-1056-1,3853
2MASS J19264357+4807193,5236
V1942 Cyg,9931
2MASS J19002573+4537087,4801
V* V991 Ori,3418
G 130-68,3278
G 210-2,3278
Wolf 1494,3281
TYC 3002-501-1,4092
KIC 7819024,7237
HD 285497,4313
TYC 1609-1518-1,4659
V* V857 Cen,3399
LP 98-79,2906
V* AA Cnc,3299
Delta Geminorum,6966
2MASS J19453187+4724345,4867
V* CG Phe,7499
[MLF2014] 6365,8762
TYC 5127-2055-1,4366
LP 377-100,3188
Cl* NGC 5139 BPB 81157,8678
ESO-HA 1497,3248
G 29-69,3205
HD 113889,7691
Iota Apodis,10423
G 169-29,3277
V* V1076 Ori,3422
37 Pegasi,7080
HD 209339,23081
BD+67 1030,4398
L 1159-16,3268
HD 42954,8019
40 Eridani A,5568
LP 625-34,3282
2MASS J19371884+4346391,4878
V* CW UMa,3344
VB 10,2700
HD 159870,5159
2MASS J19141637+4232025,4880
BD+08 102,22113
HD 352059,4439
