Subject,Object
2018 Salford City Council election in Claremont,8270
"State elections in Acre in 2014 for Governor, second round",506522
"State elections in Acre in 2014 for Governor, second round",506522
Municipal elections 2017 in Sysmä in Finland,3442
"Petrópolis mayoral election, 2016 - second round",244648
Municipal elections 2017 in Tampere in Finland,190487
Municipal elections 2017 in Tammela in Finland,4994
"Belford Roxo mayoral election, 2016 - second round",328777
"Belford Roxo mayoral election, 2016 - second round",328777
"Serra mayoral election, 2016 - second round",308139
"Serra mayoral election, 2016 - second round",308139
Municipal elections 2017 in Vaala in Finland,2534
Municipal elections 2017 in Sastamala in Finland,20269
Municipal elections 2017 in Taivassalo in Finland,1362
Municipal elections 2017 in Taivalkoski in Finland,3326
"State elections in Acre in 2014 for Governor, first round",506520
"State elections in Acre in 2014 for Governor, first round",506520
2018 Salford City Council election in Barton,9236
Municipal elections 2017 in Teuva in Finland,4366
2018 Salford City Council election in Eccles,9263
Municipal elections 2017 in Tervo in Finland,1411
Municipal elections 2017 in Tervola in Finland,2509
Municipal elections 2017 in Säkylä in Finland,5767
2018 Salford City Council election in Irlam,6988
