Subject,Object
New Hampshire,Government of New Hampshire
Netherlands,Government of the Netherlands
Netherlands,Government of the Netherlands
Maine,Government of Maine
Akpabuyo,supervisory councillors of Akpabuyo local government
Subprefecture of  Sé,Office of the Subprefect of Sé
"Khana, Nigeria",supervisory councillors of Khana local government
Austria,Austrian Federal Government
Austria,Austrian Federal Government
Florida,Government of Florida
Obia/Akpor,supervisory councillors of Obia/Akpor local government
Subprefecture of  Itaim Paulista/Vila Curuçá,Office of the Subprefect of Itaim Paulista/Vila Curuçá
Massachusetts,Government of Massachusetts
Massachusetts,Government of Massachusetts
Ogba/Egbema/Ndoni,supervisory councillors of Ogba/Egbema/Ndoni local government
Subprefecture of  Mooca,Office of the Subprefect of Mooca
