Subject,Object
SC Freiburg,Milorad Pilipović
2019 Ladies Tour of Norway,Giorgia Bronzini
Rugby Rovigo,Umberto Casellato
Exeter Chiefs,Rob Baxter
FC Grenoble,Stéphane Glas
Herforder SV Borussia Friedenstal,Jürgen Prüfer
2018 Ladies Tour of Norway,Allan Davis
2018 Ladies Tour of Norway,Allan Davis
AG2R La Mondiale,Cyril Dessel
AG2R La Mondiale,Cyril Dessel
Kopparbergs/Göteborg FC,Torbjörn Nilsson
AS Béziers Hérault,David Aucagne
RC Toulonnais,Patrice Collazo
Portland Thorns FC,Cindy Parlow Cone
Groupama-FDJ,Jussi Veikkanen
Groupama-FDJ,Jussi Veikkanen
Inter Milan,Antonio Conte
Inter Milan,Antonio Conte
Harlequin F.C.,Paul Gustard
Associazione Calcio Milan,Stefano Pioli
Associazione Calcio Milan,Stefano Pioli
Derry City F.C.,Declan Devine
2017 Ladies Tour of Norway,Jochen Dornbusch
Liverpool F.C.,Jürgen Klopp
HP BTP–Auber 93,Stephan Gaudry
Bristol Bears,Pat Lam
Worcester Warriors,Rory Duncan
Nea Salamis Famagusta FC,Savvas Poursaitidis
Direct Énergie,Jean-René Bernaudeau
