Subject,Object
APOP Kinyras FC,Cypriot Fourth Division
APOP Kinyras FC,Cypriot Fourth Division
APOP Kinyras FC,Cypriot Fourth Division
APOP Kinyras FC,Cypriot Fourth Division
APOP Kinyras FC,Cypriot Fourth Division
APOP Kinyras FC,Cypriot Fourth Division
Győri ETO Futsal Club,Nemzeti Bajnokság I
FC Akhmat Grozny,Russian Premier League
Boavista F.C.,Liga Portuguesa de Futsal
Spartans W.F.C.,Scottish Women's Premier League
Celtic L.F.C.,Scottish Women's Premier League
Carnicer Torrejón FS,Segunda División de Futsal
Salford Red Devils,Super League
Leigh Centurions,Super League
Huddersfield Giants,Super League
Wigan Warriors,Super League
Leeds Rhinos,Super League
St Helens RLFC,Super League
Hull F.C.,Super League
Catalans Dragons,Super League
Widnes Vikings,Championship
Hyundai Steel Red Angels WFC,WK-League
Leis 26 Pontevedra FS,Tercera División de Futsal
Vittsjö GIK,Damallsvenskan
Piteå IF,Damallsvenskan
Bradford,National League North
Associação Desportiva Jaraguá,Liga Futsal
Associação Desportiva Jaraguá,Liga Futsal
Perth Glory FC W-League,W-League
AGOVV Apeldoorn,Tweede Klasse
Valencia Féminas CF,Primera División
Sporting de Huelva,Primera División
Atlético Madrid Femenino,Primera División
AEP Paphos F.C.,Cypriot First Division
AEP Paphos F.C.,Cypriot First Division
AEP Paphos F.C.,Cypriot First Division
AEP Paphos F.C.,Cypriot First Division
AEP Paphos F.C.,Cypriot First Division
AEP Paphos F.C.,Cypriot First Division
Saint-Esteve XIII Catalan,French Rugby League Championship
FC Vaslui,Liga IV
