Subject,Object
Sedlo,České středohoří Protected Landscape Area
Kläper-Filz,Moore um die Wies
Schwarzes Venn,"VSG 'Heubachniederung, Lavesumer Bruch und Borkenberge'"
Murchison Falls,Murchison Falls National Park
Paulina Falls,Newberry National Volcanic Monument
Mürmes,Muermes
Capia štrbina,Tatra National Park
Baštové sedlo,Tatra National Park
Ľaliové sedlo,Tatra National Park
Lomnické sedlo,Tatra National Park
Furkotské sedlo,Tatra National Park
Sedlo pod Svišťovkou,Tatra National Park
Kopské sedlo,Tatra National Park
Bystré sedlo,Tatra National Park
Tepelský dub,Slavkovský les Protected Landscape Area
Rájovský javor,Slavkovský les Protected Landscape Area
Haleakalā Wilderness,Haleakalā National Park
Hamakua Marsh,Kawainui and Hamakua Marsh Complex
Black Ridge Canyons Wilderness,McInnis Canyons National Conservation Area
Großer Mewenbruch,Mewenbruch
Fallingwater Cascades,George Washington and Jefferson National Forests
Jilm habrolistý na Přemilově,Železné hory Protected Landscape Area
Lípa v Brtníkách,Labské pískovce Protected Landscape Area
Tahquamenon Falls,Tahquamenon Falls State Park
Dub u Větrova,Jizerské hory Protected Landscape Area
Lužecký klen,Jizerské hory Protected Landscape Area
Rašeliniště Jizery,Jizerské hory Protected Landscape Area
Devich'i Kosy,Prielbrusye National Park
James Bruce Falls,Princess Louisa Marine Provincial Park
Porážky,Bílé Karpaty Protected Landscape Area
Old Faithful,Yellowstone National Park
Sulphur Spring,Yellowstone National Park
Gray Bulger Geyser,Yellowstone National Park
Steady Geyser,Yellowstone National Park
Lioness Geyser,Yellowstone National Park
Little Cub Geyser,Yellowstone National Park
West Triplet Geyser,Yellowstone National Park
Sulphur Spring,Yellowstone National Park
Pink Cone Geyser,Yellowstone National Park
Penta Geyser,Yellowstone National Park
Lone Star Geyser,Yellowstone National Park
Jewel Geyser,Yellowstone National Park
Fishing Cone,Yellowstone National Park
Glen Alpine Falls,Lake Tahoe Basin Management Unit
Congaree River Swamp,Congaree National Park
Witte Venn,Witte Veen
Dominguez Canyon Wilderness,Dominguez-Escalante National Conservation Area
Montmorency Falls,Parc de la Chute-Montmorency
Vůznice,Křivoklátsko Protected Landscape Area
Alakaʻi Swamp,Alakai Wilderness Preserve
