Subject,Object
138 East 50th Street,50th Street
Eindhoven Central railway station,Stationsplein
Vlissingen railway station,Stationsplein
Dordrecht railway station,Stationsplein
Chafariz do Terreiro de Jesus,Praça Terreiro de Jesus
Gunetzrhainerhaus,Promenadeplatz
Shopping Center 3,Paulista Avenue
Heinrichova 32,Heinrichova
Heinrichova 9,Heinrichova
Amsterdam Centraal,"Stationsplein, Amsterdam"
Jiříkovského 6,Jiříkovského
fontaine des Innocents,rue Saint-Denis
Přívozská 22,Přívozská
Americká 7,Americká
Middelburg railway station,Kanaalweg
Fort of Saint Antony Além‐do‐Carmo,Largo de Santo Antonio Além do Carmo
Chopinova 6,Chopinova
Palladium,Náměstí Republiky
Hybernská 42,Hybernská
Palackého 1,Palackého
monument to Octave Gréard,square Paul-Painlevé
Palác na Kopečku,Třída Míru
Franziskusbrunnen,Josephsplatz
Waag,Voorstraat
Waag,Dam
Waag,Waagplein
Font d'Hèrcules,passeig de Sant Joan
Na Kocandě,Kaprova
Vista Tower,East Wacker Drive
Harlingen railway station,Stationsweg
Presidency Jail,Thackeray Road
Botanická 4,Botanická
161 Maiden Lane,Maiden Lane
International Telecommunication Union Monument,Helvetiaplatz
Kampelíkova 2,Kampelíkova
White Flint Mall,Maryland Route 355
Bridgewater Town Hall and Jail,U.S. Route 1
