Subject,Object
NGT48,Niigata
Party Rockets GT,Japan
STU48,Japan
AKB48,Akihabara
Yamaha Corporation,Hamamatsu
Team Syachihoko,Nagoya
Team Syachihoko,Nagoya
Babymetal,Tokyo
Shiritsu Ebisu Chugaku,Tokyo
Hello! Project,Tokyo
Berryz Kobo,Tokyo
Cute,Tokyo
Super Girls,Tokyo
Angerme,Tokyo
Nogizaka46,Tokyo
Morning Musume,Tokyo
Hinatazaka46,Tokyo
Keyakizaka46,Tokyo
Babymetal,Tokyo
Balmain,Paris
Patou,Paris
Christian Dior S.A.,Paris
Sabian,"Meductic, New Brunswick"
NMB48,Ōsaka
G&L Musical Instruments,Fullerton
Chesbro Music Company,Idaho Falls
