Subject,Object
Sadový platan,Dvořákovy sady
Dvořákův platan,Dvořákovy sady
Sadový platan,Dvořákovy sady
Discovery Expedition,Antarctica
Scale model of Sans Pareil-MnM 13 MG 1,Section Vaisseaux et modèles
Kaknäs,Gärdet
1893 European Rowing Championships,Lake Orta
1999 FA Women's Cup Final,The Valley
Church of Saint James the Greater,Louchov
Köln-Buchforst station,Buchforst
München Neuperlach Süd station,Neuperlach
Digital Humanities 2020,Ottawa
Invergordon distillery,Invergordon
Adoration of the Magi,"Leonardo, room 15"
Adoration of the Magi,"Leonardo, room 15"
CC Gildhof,Tielt
2006 FA Women's Cup Final,The Den
1998 FA Women's Cup Final,The Den
2007 European Athletics Indoor Championships,Birmingham
16th Street Baptist Church bombing,Birmingham
Birmingham pub bombings,Birmingham
CC Ter Dilft,Bornem
Meijersplein,Hillegersberg-Schiebroek
2018 Magnitogorsk building collapse,Magnitogorsk
2018 Magnitogorsk building collapse,Magnitogorsk
Episode from Roman History: Aemilius Paullus Becomes Consul for the Second Time,Château du Plessis-Macé
Casa di Laocoonte,Pompeii
House of the Ara Maxima,Pompeii
Casa del Moralista,Pompeii
Casa dei Cubicoli floreali,Pompeii
House of the Ceii,Pompeii
House of the Golden Bracelet,Pompeii
House of Trebius Valens,Pompeii
House of the Indian Statuette,Pompeii
House of Lucrezio Frontone,Pompeii
House of the Silver Wedding,Pompeii
Casa di Cecilio Giocondo,Pompeii
House of the surgeon,Pompeii
House of the Dioscuri,Pompeii
Miss USA 2015,Baton Rouge River Center Arena
Miss USA 2014,Baton Rouge River Center Arena
"Neumann János High School, Vocational School and College","Upper City, Eger"
Accrington War Memorial,Accrington
Tari Pinggan,West Kalimantan
2019 Junior Grand Prix France - ice dancing rhythm dance,Courchevel
CC Belgica,Dendermonde
Ski jumping at the 1960 Winter Olympics,Papoose Peak Jumps
Nordic combined at the 1960 Winter Olympics,Papoose Peak Jumps
1984 Thailand Open Badminton Championships,Bangkok
2008 Thailand Open Badminton Championships,Bangkok
2005 Thailand Open Badminton Championships,Bangkok
2004 Thailand Open Badminton Championships,Bangkok
2003 Thailand Open Badminton Championships,Bangkok
2001 Thailand Open Badminton Championships,Bangkok
2000 Thailand Open Badminton Championships,Bangkok
1999 Thailand Open Badminton Championships,Bangkok
1997 Thailand Open Badminton Championships,Bangkok
1996 Thailand Open Badminton Championships,Bangkok
1995 Thailand Open Badminton Championships,Bangkok
1994 Thailand Open Badminton Championships,Bangkok
1993 Thailand Open Badminton Championships,Bangkok
1992 Thailand Open Badminton Championships,Bangkok
KV Arena,Karlovy Vary
Bodangora Wind Farm,Bodangora
Barsebäck Golf & Country Club,Barsebäck
Nationwide Arena,Columbus
Rheinstadion,Düsseldorf
Ahura Mazda and Ardashir I,Naqsh-e Rustam
"Musée Saint-Raymond, 26411",Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26422",Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26411",Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26422",Saint-Raymond Museum reserves
Skyphos,Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26369",Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26395",Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26369",Saint-Raymond Museum reserves
Stadtbefestigung: Torhaus bei Brücke; Stadtmauer; Hexenturm;Lenzburger Tor mit Zeitturm,Mellingen
Maharashtra Open,Shree Shiv Chhatrapati Sports Complex
Kurfürstendamm,Charlottenburg
Kurfürstendamm,Charlottenburg
Brooklyn Heights Historic District,Brooklyn Heights
Design for a door frame with round arch and fronton,Museum Plantin-Moretus
Design for the wall of a chapel with two tombs,Museum Plantin-Moretus
Design for the left-hand half of a door frame,Museum Plantin-Moretus
Design for a door frame with round arch,Museum Plantin-Moretus
Design for a door frame with round arch and fronton,Museum Plantin-Moretus
Design for the wall of a chapel with two tombs,Museum Plantin-Moretus
Design for the left-hand half of a door frame,Museum Plantin-Moretus
Design for a door frame with round arch,Museum Plantin-Moretus
Design for a door frame with round arch and fronton,Museum Plantin-Moretus
Design for the wall of a chapel with two tombs,Museum Plantin-Moretus
Design for a sacristy display case in Rococo style,Museum Plantin-Moretus
Design for a sacristy display case in Rococo style,Museum Plantin-Moretus
Preliminary sketch of an altar of Our Lady,Museum Plantin-Moretus
Four designs for garden vases,Museum Plantin-Moretus
Design for a statue of a woman with candlestick,Museum Plantin-Moretus
Rugby Rovigo,Rovigo
Linna Golf Club,Vanajanlinna
FC Grenoble,Grenoble
Čiovo bridge,Trogir
World Esperanto Congress 1996,Prague
World Esperanto Congress 1921,Prague
Platan u svaté Anny,Fakultní nemocnice u sv. Anny v Brně
South Korea 2-0 Germany,Kazan Arena
France 2-1 Australia,Kazan Arena
Iran 0-1 Spain,Kazan Arena
1986 US Open Badminton Championships,Manhattan Beach
