Subject,Object
Chicago International Children's Film Festival,child
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,scholarly communication
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,scholarly communication
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,scholarly communication
ASTM D4642,reform
Leibniz as a Politician,Gottfried Wilhelm Leibniz
"Pemetrexed Disodium in Treating Patients With Recurrent Malignant Gliomas, Primary CNS Lymphoma, or Brain Metastases",recurrent adult brain tumor
Bevacizumab in Treating Patients With Recurrent or Progressive Glioma,recurrent adult brain tumor
Vatalanib in Treating Patients With Recurrent or Progressive Meningioma,recurrent adult brain tumor
Acilius 5,Acilia gens
NRHP nomination: Waverley Country Club Clubhouse,Waverley Country Club
Journal of Medical Physics,computer science
ASTM D5127,semiconductor
Development,developmental biology
Reminders,Reminders
Biblical Basis for War,Christianity
Zoological Science,zoology
Aristophanes 14,Aristophanes of Byzantium
Proceedings of the National Academy of Sciences of the United States of America,research
Proceedings of the National Academy of Sciences of the United States of America,social science
Montreal International Animation Festival,animated film
Animafest Zagreb,animated film
Camden International Film Festival,documentary film
Erratum to: Conformational changes and translocation of tissue-transglutaminase to the plasma membranes: role in cancer cell migration.,Conformational changes and translocation of tissue-transglutaminase to the plasma membranes: role in cancer cell migration.
Torremolinos International Fantastic Film Festival,film
NRHP nomination: Ivoryton Historic District,Ivoryton Historic District
Vaccine,microbiology
Tarlo River National Park Plan of Management,Tarlo River National Park
San Francisco Transgender Film Festival,transgender person
The German Front,Holtzbrinck Publishing Group
In's Land Lebus,Lubusz Land
Indian Journal of Gastroenterology,gastroenterology
Burt Rutan: The real future of space exploration,space exploration
NRHP nomination: Brown Street Historic District,Brown Street Historic District
Journal of Psychopharmacology,psychopharmacology
San Diego Film Week,Film screening
In's Ruppiner Land,Tegel
"Budderoo National Park, Macquarie Pass National Park, Barren Grounds Nature Reserve and Robertson Nature Reserve Plan of Management",Budderoo National Park
Find My iPhone,Find My
Find My Friends,Find My
Find My iPhone,Find My
Find My Friends,Find My
Find My iPhone,Find My
Find My Friends,Find My
Find My iPhone,Find My
Find My iPhone,Find My iPhone
Find My Friends,Find My Friends
Garigal National Park Plan of Management,Garigal National Park
The American Journal of Medicine,United States of America
Wikispore,reference work
Wikispore,reference work
Hans Rosling: The best stats you've ever seen,developing country
"Henry Colden Antill - journals, 1809, 1815",penal transportation
Acta Paediatrica,pediatrics
Journal of Indian Association of Pediatric Surgeons,pediatrics
Amy Smith: Simple designs to save a life,charcoal
Corrigendum: Genome-wide association of polycystic ovary syndrome implicates alterations in gonadotropin secretion in European ancestry populations.,Genome-wide association of polycystic ovary syndrome implicates alterations in gonadotropin secretion in European ancestry populations
musical tuning,musical tuning
musical tuning,musical tuning
Gamengrund und Rüdersdorf,Gamengrund
Sleep,sleep
Journal of Indian Society of Pedodontics and Preventive Dentistry,geology
Israeli Film Festival of Philadelphia,Israel
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,Israel
War Prisoners,Abrams v. United States
Desibeli.net,music
ASTM D5504,natural gas
In the Palace International Short Film Festival,short film
Apple Maps,Maps
Apple Maps,Maps
Apple Maps,Maps
RDFShape: An RDF playground based on Shapes,SPARQL
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Novel Coronavirus,2019–20 coronavirus outbreak
Aristophon 7,Aristophon
Tsuide ni Tonchinkan,middle school student
Dokonjō Gaeru,middle school student
Bone Marrow and Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer,prolymphocytic leukemia
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",First Fleet
John Hunter First Fleet Journal 1787-1791,First Fleet
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",First Fleet
John Hunter First Fleet Journal 1787-1791,First Fleet
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",First Fleet
John Hunter First Fleet Journal 1787-1791,John Hunter
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",Convicts in Australia
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",Convicts in Australia
John Hunter First Fleet Journal 1787-1791,Convicts in Australia
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",Convicts in Australia
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",Convicts in Australia
Bill Gates: Innovating to zero!,nuclear power
Perlentaucher,literary criticism
Photo Booth,Photo Booth
Photo Booth,Photo Booth
Notes,Notes
ASTM D5135,styrene
The Buffalo Declaration,politics
The Buffalo Declaration,politics
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,social norm
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",tumor biomarkers
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",mucinous cystadenoma
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",CA19-9
Abercrombie River National Park Plan of Management,Abercrombie River National Park
Um den Scharmützel-See,Lindenberg (Pfalz)
Dorrigo National Park Plan of Management,Dorrigo National Park
RE:Mellodunum,Melun
NRHP nomination: Oregon Caves Historic District boundary increase,Oregon Caves Historic District
NRHP nomination: Oregon Caves Historic District,Oregon Caves Historic District
Aberbaldie Nature Reserve Plan of Management,Aberbaldie Nature Reserve
Ekonomist,economics
Brickipedia,Lego
Brickipedia,Lego
Corrigendum: LSD1 is essential for oocyte meiotic progression by regulating CDC25B expression in mice.,LSD1 is essential for oocyte meiotic progression by regulating CDC25B expression in mice.
Im Spreewald,Burg (Spreewald)
Sprout,high school student
Erratum: Layer-dependent quantum cooperation of electron and hole states in the anomalous semimetal WTe2.,Layer-dependent quantum cooperation of electron and hole states in the anomalous semimetal WTe2
Journal of Veterinary Science,animal science
TLVFest,LGBT-related film
Strike the Blood,supernatural
Attikos 10a-f,Atticus
Journal of Clinical Investigation,medicine
Journal of Postgraduate Medicine,medicine
Journal of Cytology,medicine
T2WML: Table To Wikidata Mapping Language,Wikidata
"Hans Rosling: Insights on HIV, in stunning data visuals",HIV
Horrible Imaginings,Horror
ASTM D4953,gasoline
ASTM D4815,gasoline
The PACE-MI Registry Study - Outcomes of Beta-blocker Therapy After Myocardial Infarction,acute myocardial infarction
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,cecal neoplasm
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,ileal neoplasm
Nicolas Sarkozy Dakar address,France–Africa relations
Octreotide as Palliative Therapy for Cancer-Related Bowel Obstruction That Cannot Be Removed by Surgery,peritoneum cancer
Effect of Chemotherapy Given Either by Mouth or by Infusion on the Quality of Life of Patients With Recurrent Ovarian Epithelial Cancer,peritoneum cancer
Gran Paradiso Film Festival,nature
ASTM D5502,aluminum
Tooloom National Park Plan of Management,Tooloom National Park
ASTM D4628,magnesium
Buckton Castle,Buckton Castle
Bongil Bongil National Park Plan of Management,Bongil Bongil National Park
Mount Imlay National Park Plan of Management,Mount Imlay National Park
The Inconvenient Truth,environmentalism
"Benjamin Netanyahu speech to joint session of Congress, 2015",nuclear program of Iran
RE:Ala 2,ala
The One Number You Need to Grow,Net Promoter
Inakappe Taishō,sport
Aristophanes 16,Aristophanes
Aristophanes 12,Aristophanes
Vox Publica,democracy
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,lip cancer
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,Merkel cell carcinoma
ASTM D4975,steel
