Subject,Object
Verrazzano-Narrows Bridge,Metropolitan Transportation Authority
Japan National Route 499,Kagoshima Prefecture
Throgs Neck Bridge,MTA Bridges and Tunnels
Oregon City Bridge,Oregon Department of Transportation
Yaquina Bay Bridge,Oregon Department of Transportation
Big Creek Bridge,Oregon Department of Transportation
Japan National Route 436,Hyōgo Prefecture
Japan National Route 436,Hyōgo Prefecture
Japan National Route 57,"Ministry of Land, Infrastructure, Transport and Tourism"
Japan National Route 57,"Ministry of Land, Infrastructure, Transport and Tourism"
Japan National Route 57,"Ministry of Land, Infrastructure, Transport and Tourism"
Japan National Route 197,"Ministry of Land, Infrastructure, Transport and Tourism"
Hardwick Hall,National Trust
Kingston Lacy,National Trust
Castle Drogo,National Trust
Kingston Lacy,National Trust
Japan National Route 317,Ehime Prefecture
Golden Gate Bridge,"Golden Gate Bridge, Highway and Transportation District"
George Washington Bridge,Port Authority of New York and New Jersey
Japan National Route 350,Niigata Prefecture
Japan National Route 350,Niigata Prefecture
Cotter Bridge,Arkansas State Highway and Transportation Department
