Subject,Object
gadolinium-157,-70823.473
caesium-151,-34230.0
gadolinium-156,-72534.914
gadolinium-161,-65505.824
francium-211,-4140.249
rubidium-103,-33608.0
gadolinium-166,-54530.0
scandium-43,-36188.102
cerium-142,-84533.188
lead-186,-14682.026
palladium-114,-83490.943
bismuth-197,-19687.191
lead-189,-17844.035
gadolinium-154,-73705.954
actinium-217,8703.673
francium-206,-1242.416
ruthenium-105,-85934.49
xenon-127,-88321.56
palladium-121,-66182.329
lead-210,-14728.502
palladium-123,-60429.742
gadolinium-165,-56453.0
protactinium-228,28923.586
francium-210,-3333.205
palladium-115,-80426.386
protactinium-231,33424.404
silicon-42,16470.0
rubidium-94,-68562.785
palladium-91,-45930.0
palladium-120,-70280.05
bismuth-201,-21416.433
palladium-117,-76424.477
xenon-112,-60026.338
lead-190,-20416.645
rubidium-98,-54369.146
gadolinium-152,-74706.916
bismuth-202,-20741.484
caesium-148,-46910.942
lead-182,-6825.112
lead-182,-6825.112
palladium-107,-88372.639
actinium-216,8144.395
cerium-137,-85918.588
palladium-109,-87606.476
francium-207,-2844.341
rubidium-96,-61354.349
lead-188,-17815.202
bismuth-195,-18025.561
bismuth-203,-21524.827
lead-192,-22556.02
palladium-118,-75388.746
palladium-126,-51860.0
gadolinium-168,-48363.0
xenon-113,-62203.618
rubidium-95,-65891.493
gadolinium-164,-59774.0
lead-191,-20231.118
rubidium-100,-46247.064
actinium-215,6030.615
caesium-149,-43250.0
silicon-30,-24432.96
rubidium-97,-58519.137
lead-181,-3117.35
francium-209,-3769.572
gadolinium-169,-44153.0
protactinium-230,32173.607
protactinium-234,40338.921
lead-202,-25940.614
lead-185,-11541.22
lead-196,-25348.312
protactinium-223,22320.676
silicon-22,33338.0
lead-204,-25109.892
gadolinium-155,-72069.88
caesium-146,-55310.372
protactinium-226,26033.276
lead-183,-7575.218
scandium-48,-44503.842
protactinium-227,26831.198
ruthenium-108,-83661.35
palladium-92,-54580.0
francium-208,-2665.919
protactinium-225,24340.725
cerium-125,-66658.0
francium-215,318.065
caesium-150,-38170.0
palladium-116,-79831.635
francium-205,-1309.813
rubidium-102,-37707.0
protactinium-232,35946.633
palladium-124,-58390.0
rubidium-101,-42845.0
palladium-122,-64616.161
scandium-50,-44547.382
xenon-116,-73046.724
gadolinium-134,-41302.0
francium-212,-3515.968
ruthenium-97,-86120.552
gadolinium-135,-44390.0
lead-194,-24207.94
silicon-29,-21895.07838
palladium-125,-54120.0
protactinium-224,23862.278
bismuth-196,-18009.031
francium-214,-958.707
actinium-218,10843.609
gadolinium-159,-68561.436
protactinium-233,37489.472
scandium-40,-20523.335
