Subject,Object
KIC 5200152,0.106
Delta Tauri3,0.13
HD 165590,7.29
Cl* NGC 5139 L 1352,-1.84
Cl* NGC 5139 LEID 23042,-1.84
Cl* NGC 5139 L 683,-1.84
HD 193281,-0.68
TYC 694-1183-1,0.12
V* V1791 Sgr,-0.04
V* V1784 Sgr,-0.04
Cl* NGC 5139 LEID 42508,-1.72
V897 Her,-0.03
Gliese 269,-0.03
CL Cam,-0.06
V* V1779 Sgr,-0.14
KIC 4937056,-0.14
Cl* NGC 5139 LEID 36228,-1.77
2MASS J18035351-2421237,-0.05
KIC 5024043,-0.136
2MASS J08274034+2441411,-0.74
UCAC2 45858420,0.0
FL Lyrae,-0.09
HD 58661,-0.3
Cl* NGC 5139 L 1078,-1.88
Cl* NGC 5139 LEID 44026,-1.33
Gliese 208,7.92
HD 102458,0.38
HD 36959,-0.01
Cl* NGC 5139 L 1019,-1.51
V* V1768 Sgr,-0.12
V* GR Dra,-0.12
Omega Aurigae,-0.12
V* EW Dra,0.1
LP 415-345,0.2
Cl* NGC 5139 LEID 35035,-1.89
DY Leo,-0.5
HD 125040,7.48
39 Ceti,-0.38
BD-06 1250,-0.17
Cl* NGC 5139 L 1754,-1.92
39 Comae Berenices,-0.31
V* AN CrB,-0.31
Cl* NGC 5139 L 1076,-1.9
TYC 1284-1056-1,0.09
HD 26015,0.17
HD 186465,-0.23
KIC 5111949,0.15
HD 103483,-0.62
KIC 7900418,-0.07
V* EU Dra,-0.07
2MASS J18042772-2424321,-0.07
HD 112245,0.04
2MASS J09255597+0649540,-0.55
HD 208313,7.52
Cl* NGC 5139 L 823,-1.66
