Subject,Object
2018 Deutschland Tour,Vasil Kiryienka
2018 Deutschland Tour,Matej Mohorič
2017 Presidential Tour of Turkey,Thomas Deruette
2016 Presidential Tour of Turkey,Jaime Rosón
2017 Presidential Tour of Turkey,Daniel Martínez
2017 Presidential Tour of Turkey,Alessandro Tonelli
2017 Presidential Tour of Turkey,Ilia Koshevoy
2016 Presidential Tour of Turkey,Ilia Koshevoy
2018 Clásico RCN,Diego Andrés Camargo
2018 Clásico RCN,Diego Andrés Camargo
2018 Settimana Internazionale di Coppi e Bartali,Brice Feillu
2018 Settimana Internazionale di Coppi e Bartali,Brice Feillu
2018 Four Days of Dunkirk,Brice Feillu
2019 Deutschland Tour,Alexey Lutsenko
2019 Deutschland Tour,Jenthe Biermans
2009 Volta ao Algarve,Philippe Gilbert
2009 Volta ao Algarve,Philippe Gilbert
2016 Volta a Portugal,César Fonte
2018 Volta a Portugal,Raúl Alarcón
2018 Volta a Portugal,Raúl Alarcón
2018 Volta a Portugal,Raúl Alarcón
2019 Settimana Internazionale di Coppi e Bartali,Giovanni Visconti
2019 Settimana Internazionale di Coppi e Bartali,Giovanni Visconti
2018 Ladies Tour of Norway,Trixi Worrack
2018 Ladies Tour of Norway,Lucinda Brand
2017 Volta a Portugal,Amaro Antunes
2017 Volta a Portugal,Rui Sousa
2017 Volta a Portugal,Rui Sousa
Volta a Portugal de 2019,David Ribeiro
2020 Vuelta a Andalucía,Jérôme Cousin
2020 Vuelta a Andalucía,Jérôme Cousin
2017 Clásico RCN,Rafael Montiel
2017 Clásico RCN,Rafael Montiel
2019 Ladies Tour of Norway,Demi Vollering
2017 Ladies Tour of Norway,Ellen van Dijk
2018 Presidential Tour of Turkey,Yecid Sierra
2018 Presidential Tour of Turkey,Aldemar Reyes
2018 Presidential Tour of Turkey,Feritcan Şamlı
2018 Presidential Tour of Turkey,Diego Rubio
2018 Presidential Tour of Turkey,Aimé De Gendt
2017 Tour de France,Alberto Contador
2016 Tour de France,Thomas De Gendt
2017 Tour de France,Alberto Contador
2016 Tour de France,Thomas De Gendt
2017 Tour de France,Alberto Contador
2010 Volta ao Algarve,Thomas De Gendt
2010 Volta ao Algarve,Alberto Contador
2012 Four Days of Dunkirk,Bert-Jan Lindeman
2012 Four Days of Dunkirk,Bert-Jan Lindeman
2018 Vuelta a Andalucía,Luis León Sánchez
2018 Vuelta a Andalucía,Luis León Sánchez
2019 Presidential Tour of Turkey,Umberto Marengo
2019 Presidential Tour of Turkey,Lucas De Rossi
2019 Presidential Tour of Turkey,Lindsay De Vylder
