Subject,Object
SS Thomée,Anders Jakob Thomée
St. Basil's Cathedral,Intercession of the Theotokos
Morrison Bridge,John L. Morrison
Church of Santa Giulia,Julia of Corsica
Dakota County,Sioux
Roxas,Manuel Roxas
Typhoon Bualoi,Bualoi
Eritrea,Red Sea
Vogelsberg wind farm,Vogelsberg
HSBC Holdings,The Hongkong and Shanghai Banking Corporation
Themisto,Themisto
Fredericksburg,"Frederick, Prince of Wales"
Nuremberg Central Station,Nuremberg
Fairy,fairy
Rung Rawi,Rung Rawi
Robins Air Force Base,Augustine Warner Robins
Carver County,Jonathan Carver
Carver County,Jonathan Carver
Ytre Vikna wind farm,Ytter-Vikna
Holmes County,David Holmes
Collier County,Barron Collier
Church of Saints Peter and Paul,Feast of Saints Peter and Paul
St. Michael's Cathedral,Michael the Archangel
Church of Saint Nicholas,Saint Nicholas
Propositura di San Niccolò,Saint Nicholas
Ziegelgraben Bridge,Ziegelgraben
Bartolomeu de Gusmão Airport,Bartolomeu de Gusmão
Brown County,Joseph R. Brown
Surrey Quays railway station,Surrey Quays
Non Kha,Non Kha
Otsego County,Otsego County
Colegio Mayor Universitario San Juan Evangelista,John the Evangelist
Nike,Nike
Pliny Township,Pliny the Elder
Tha Nang Naeo,Tha Nang Naeo
MV Västan,Westerlies
Klingenberg power station,Georg Klingenberg
Sterling Township,Stirling
Silver Bow County,Silver Bow Creek
San Gorgonio Pass Wind Farm,San Gorgonio Pass
Engelbrekt,Engelbrekt Engelbrektsson
Himmelsberg,Himmelsberg
Sok Nok Ten,Sok Nok Ten
Rheiderland Township,Rheydt
Martin County,Morgan Lewis Martin
Antelope,antelope
Antelope,antelope
Fothergill–Round–Mitchell Medall,Barry Round
Rakovski,Georgi Sava Rakovski
Pacific,Pacific Ocean
Pacific,Pacific Ocean
Don Du,Don Du
Rosewood Township,"Rosewood, Ohio"
Clive Churchill Medal,Clive Churchill
Sintfeld wind farm,Sintfeld
Charles Sutton Medal,Charlie Sutton
Novoazovsk wind farm,Novoazovsk Raion
Virginia Beach,Virginia
Euporie,Euporie
Sant'Agata,Agatha of Sicily
Menominee County,Menominee
Manchester Township,Manchester Township
Buckower Chaussee station,Buckower Chaussee
San Clemente Dormitory,Clement I
Institute of Paleobiology,Roman Kozłowski
Cedar College,Psalm 92
San Michele in Bosco railway halt,San Michele in Bosco
Church of Saint John the Baptist,John the Baptist
San Giovanni in Sugana,John the Baptist
San Giovanni Battista a Corsano,John the Baptist
San Giovanni Battista,John the Baptist
Genova Pra railway halt,Pra'
Dickinson County,Donald M. Dickinson
Santi Ansano e Tommaso,Thomas the Apostle
Pamsendorf wind farm,Pamsendorf
Chaldene,Chaldene
Cathedral of Saint Sava,Saint Sava
Waterloo tube station,London Waterloo station
Isonoe,Isonoe
Indian River County,Indian River Lagoon
Brownlow Medal,Chas Brownlow
Sponde,Sponde
Norrtelje,Norrtälje
Typhoon Fengshen,Fengshen
Claveria,Narciso Clavería y Zaldúa
Windpark A7,A7 motorway
Szenttamás,Thomas Becket
Paraguaná Wind Farm,Paraguaná Peninsula
Typhoon Halong,Halong
Mauritius,Mauritius Island
Tarkhankut Wind Farm,Tarkhankut Peninsula
Acorn,acorn
Acorn,acorn
Charing Cross tube station,Charing Cross
Wellington Park,Mount Wellington
"Neumann János High School, Vocational School and College",John von Neumann
Allegheny County,Allegheny River
Hot Springs County,hot spring
Kallichore,Kallichore
Plauerhagen wind farm,Plauerhagen
Villa Bonelli railway halt,Villa Bonelli
Lake Tahoe Basin Management Unit,Lake Tahoe
Asenovgrad,Ivan Asen II of Bulgaria
Thang Khwang,Thang Khwang
Schichauweg railway station,Schichauweg
Offenbach-Kaiserlei station,Kaiserlei
Adams County,John Adams
Charlotte County,Charlotte Harbor
Judson Township,Adoniram Judson
Rossmann,Dirk Roßmann
Kermeter,Kermeter
Otter Tail County,Otter Tail Lake
Benton County,Thomas Hart Benton
Benton County,Thomas Hart Benton
Steenerson Township,Halvor Steenerson
Canning Town,Canning Town
Flingern power station,Flingern
Jefferson County,Thomas Jefferson
Chot Nong Kae,Chot Nong Kae
Metropolitan Cathedral of Athens,Annunciation
Tauern wind farm,Lower Tauern
Black Knights' Tango,Mexico
Lysithea,Lysithea
St Paul's College,Paul
München-Berg am Laim station,Berg am Laim
Bourg-en-Bresse Cathedral,Virgin Mary
West Ham station,West Ham
Malawi,Lake Malawi
Beltrami County,Giacomo Beltrami
Mai Na Phiang,Mai Na Phiang
Ensted Power Station,Ensted
King Chulalongkorn Memorial Hospital,Chulalongkorn
Callirrhoe,Callirrhoe
Sandanski,Yane Sandanski
Sierra Vista Municipal Airport,Sierra Vista
Prima Donna,prima donna
Prima Donna,prima donna
Toulouse-Francazal Air Base,Lionel de Marmier
Moabit power station,Moabit
Hendry County,Francis A. Hendry
Madison County,James Madison
Parsons Green tube station,Parsons Green
"Collégiate church Saint-Martin, Picquigny",Martin of Tours
Carbon County,carbon
Praxidike,Praxidike
Presque Isle International Airport,Presque Isle
Gallatin County,Albert Gallatin
