Subject,Object
rubidium-99,62
gold-200m,121
gold-200,121
astatine-223,138
ruthenium-97,53
palladium-115,69
silver-116,69
astatine-217,132
iron-64,38
palladium-119,73
caesium-146,91
osmium-184,108
iron-59,33
rubidium-94,57
rubidium-98,61
palladium-107,61
ruthenium-105,61
osmium-180,104
caesium-151,96
astatine-222,137
iron-65,39
caesium-150,95
palladium-121,75
silver-122,75
caesium-148,93
gold-202,123
dysprosium-147,81
rubidium-96,59
palladium-92,46
silicon-22,8
cerium-125,67
silver-114,67
astatine-220,135
palladium-118,72
silver-119,72
scandium-43,22
radon-212,126
gold-205,126
iron-63,37
palladium-124,78
dysprosium-144,78
silver-125,78
iron-62,36
rubidium-100,63
palladium-109,63
palladium-120,74
silver-121,74
osmium-177,101
rubidium-95,58
scandium-48,27
rubidium-97,60
osmium-179,103
silicon-30,16
scandium-50,29
cerium-142,84
silicon-42,28
palladium-122,76
silver-123,76
radon-210,124
gold-203,124
caesium-149,94
radon-211,125
gold-204,125
gold-201,122
radon-213,127
caesium-147,92
astatine-219,134
iron-61,35
palladium-126,80
dysprosium-146,80
osmium-183,107
astatine-216,131
iron-51,25
scandium-40,19
astatine-221,136
osmium-178,102
palladium-91,45
rubidium-102,65
iron-66,40
palladium-116,70
silver-117,70
rubidium-101,64
ruthenium-108,64
silver-111,64
palladium-114,68
silver-115,68
palladium-117,71
iron-50,24
astatine-218,133
palladium-123,77
iron-67,41
