Subject,Object
legislative body of Carlow County Council,2
legislative body of Sligo County Council,2
legislative body of Cork County Council,8
legislative body of Clare County Council,4
legislative body of Kilkenny County Council,4
legislative body of Mayo County Council,4
legislative body of Limerick City and County Council,6
legislative body of Limerick City and County Council,6
legislative body of Roscommon County Council,3
municipal Chamber of Viamão,0
municipal Chamber of Imperatriz,0
municipal Chamber of Ipatinga,0
municipal Chamber of Volta Redonda,0
municipal Chamber of Foz do Iguaçu,0
municipal Chamber of Embu das Artes,0
municipal Chamber of Barueri,0
municipal Chamber of Marabá,0
municipal Chamber of Juazeiro do Norte,0
municipal Chamber of Sumaré,0
municipal Chamber of Várzea Grande,0
municipal Chamber of Gravataí,0
municipal Chamber of Taboão da Serra,0
municipal Chamber of Governador Valadares,0
