Subject,Object
2020 Tarragona explosion,7
2020 Tarragona explosion,7
Christchurch mosque shootings,47
2018 Magnitogorsk building collapse,17
2018 Magnitogorsk building collapse,17
Wall Street bombing,143
Santa Fe High School shooting,14
16th Street Baptist Church bombing,14
Transport and murder of Białystok children,0
Békásmegyer Explosion,10
Birmingham pub bombings,182
2017 Port Authority Bus Terminal explosion,4
2017 Port Authority Bus Terminal explosion,4
2019 Pulwama attack,35
Boston Marathon bombings,264
