Subject,Object
Prissy,circus performer
Mrs. Jumbo,circus performer
Catty,circus performer
Giddy,circus performer
Mrs. Jumbo,circus performer
Abraham,prophet
Moses,prophet
Abraham,prophet
Moses,prophet
Abraham,prophet
Moses,prophet
Abraham,prophet
Moses,prophet
Abraham,prophet
Abraham,rasul
Moses,prophet
Moses,military leader
Abraham,rasul
Moses,prophet
Abraham,prophet
Moses,prophet
Russian,mercenary
Sarabi,hunter
Sarafina,hunter
Moka Akashiya,student
Moka Akashiya,student
Cyborg,superhero
Cable,superhero
Cyborg,student
Joseph,religious leader
David,sovereign
David,writer
Professor Hamilton,fictional scientist
Ivor Clay,cricketer
Maid Marian,socialite
Vasupujya,Tirthankara
Anantanatha,Tirthankara
Neminatha,Tirthankara
Parshvanatha,Tirthankara
Doug Gillespie,Australian rules footballer
Bert Clay,Australian rules footballer
Charlie Naismith,Australian rules footballer
Prince John,ruler
