Subject,Object
2016 Estonian presidential election,President of Estonia
2016 Estonian presidential election,President of Estonia
1998 Illinois gubernatorial election,Governor of Illinois
2006 Illinois gubernatorial election,Governor of Illinois
2018 Salford City Council election in Irlam,member of Salford City Council
2018 Salford City Council election in Eccles,member of Salford City Council
2018 Salford City Council election in Claremont,member of Salford City Council
2018 Salford City Council election in Barton,member of Salford City Council
"Volta Redonda mayoral election, 2016 - second round",mayor
"Volta Redonda mayoral election, 2016 - first round",mayor
"Belford Roxo mayoral election, 2016 - second round",deputy mayor
"Serra mayoral election, 2016 - second round",deputy mayor
"Petrópolis mayoral election, 2016 - second round",deputy mayor
"Belford Roxo mayoral election, 2016 - second round",mayor
"Serra mayoral election, 2016 - second round",mayor
2011 Hokkaido gubernatorial election,Governor of Hokkaidō Prefecture
1959 Hokkaido gubernatorial election,Governor of Hokkaidō Prefecture
1959 Hokkaido gubernatorial election,Governor of Hokkaidō Prefecture
2016 Gambian presidential election,President of the Gambia
2016 Gambian presidential election,President of the Gambia
2016 Gambian presidential election,President of the Gambia
2015 Danish general election,member of the Folketing
2007 Danish general election,member of the Folketing
2015 Danish general election,member of the Folketing
2019 North Macedonian presidential election,President of North Macedonia
2016 Kiribati presidential election,President of Kiribati
2016 Kiribati presidential election,President of Kiribati
2006 Okinawa gubernatorial election,Governor of the Okinawa Prefecture
2012 Tokyo gubernatorial election,Governor of Tokyo
2012 Tokyo gubernatorial election,Governor of Tokyo
2018 Georgian presidential election,President of Georgia
2018 Montenegrin presidential election,President of Montenegro
2001 Danish general election,Prime Minister of Denmark
1950 Danish Folketing election,Prime Minister of Denmark
1953 Danish Folketing election,Prime Minister of Denmark
1945 Danish Folketing election,Prime Minister of Denmark
2005 Danish general election,Prime Minister of Denmark
1953 Danish general election,Prime Minister of Denmark
1966 Danish general election,Prime Minister of Denmark
1988 Danish general election,Prime Minister of Denmark
1960 Danish general election,Prime Minister of Denmark
1964 Danish general election,Prime Minister of Denmark
1947 Danish Folketing election,Prime Minister of Denmark
1971 Danish general election,Prime Minister of Denmark
Wisconsin gubernatorial recall election,Governor of Wisconsin
2014 United States House of Representatives election in the Northern Mariana Islands,United States representative
2014 United States House of Representatives election in South Dakota,United States representative
2014 United States House of Representatives election in Guam,United States representative
2012 United States House of Representatives elections in Hawaii,United States representative
1911 Swedish general election,Prime Minister of Sweden
1988 Swedish general election,Prime Minister of Sweden
March 1914 Swedish general election,Prime Minister of Sweden
2006 Swedish general election,Prime Minister of Sweden
2017 Slovenian presidential election,President of Slovenia
2017 Slovenian presidential election,President of Slovenia
"State elections in Acre in 2014 for Governor, second round",State Vice Governor of Brazil
"State elections in Acre in 2014 for Governor, first round",State Vice Governor of Brazil
"State elections in Acre in 2014 for Governor, second round",state governor of Brazil
"State elections in Acre in 2014 for Governor, first round",state governor of Brazil
2011 Osaka gubernatorial election,Governor of Osaka
2011 Osaka gubernatorial election,Governor of Osaka
2009 Virginia gubernatorial election,Governor of Virginia
2019 Indonesian presidential election,President of Indonesia
