Subject,Object
Viveiro,mayor of Vivero
Viveiro,mayor of Vivero
Liguria,president of Liguria
Baix Camp,president of Comarcal Council of Baix Camp
Subprefecture of  Ermelino Matarazzo,subprefect of Ermelino Matarazzo
Subprefecture of  Campo Limpo,subprefect of Campo Limpo
Subprefecture of  Cidade Ademar,subprefect of Cidade Ademar
Subprefecture of  Penha,subprefect of Penha
Borno State,Governor of Borno State
Baix Penedès,president of Comarcal Council of Baix Penedès
Pallars Sobirà,president of Comarcal Council of Pallars Sobirà
Solsonès,president of Comarcal Council of Solsonès
Priorat,president of Comarcal Council of Priorat
Subprefecture of  M'Boi Mirim,subprefect of M'Boi Mirim
Friuli–Venezia Giulia,president of Friuli-Venezia Giulia
Ribera d'Ebre,president of Comarcal Council of Ribera d'Ebre
Anambra State,Governor of Anambra State
Zamfara State,Governor of Zamfara State
Subprefecture of  Jabaquara,subprefect of Jabaquara
Ebonyi State,Governor of Ebonyi State
Molise,president of Molise
Cerdanya,president of Comarcal Council of Cerdanya
Pontevedra,mayor of Pontevedra
Subprefecture of  Capela do Socorro,subprefect of Capela do Socorro
Trentino-South Tyrol,president of Trentino-South Tyrol
Alt Empordà,president of Comarcal Council of Alt Empordà
