Subject,Object
Legislative Assembly of Roraima,president of the Legislative Assembly of Roraima
Legislative Chamber of Federal District,president of the Legislative Chamber of the Brazilian Federal District
Legislative Assembly of Tocantins,president of the Legislative Assembly of Tocantins
Legislative Assembly of Mato Grosso do Sul,president of the Legislative Assembly of Mato Grosso do Sul
Comarcal Council of Baix Penedès,president of Comarcal Council of Baix Penedès
Legislative Assembly of Maranhão,president of the Legislative Assembly of Maranhão
Ministry of Education and Research,Minister for Education and Science
Ministry of Education and Research of Norway,Minister of Education and Research
Legislative Assembly of Sergipe,president of the Legislative Assembly of Sergipe
Department of Education,Minister of Education
Legislative Assembly of Espírito Santo,president of the Legislative Assembly of Espírito Santo
Legislative Assembly of Paraná,president of the Legislative Assembly of Paraná
Roman Catholic Diocese of Tarazona,Bishop of Tarazona
United States Department of Education,United States Secretary of Education
"Ministry of Education, Culture and Sport","Minister of Education, Culture and Sport"
Roman Catholic Diocese of Šibenik,Bishop of Šibenik
Department of Education and Skills,Minister for Education and Skills
Roman Catholic Diocese of Bayeux,bishop of Bayeux et Lisieux
Comarcal Council of Ribera d'Ebre,president of Comarcal Council of Ribera d'Ebre
Roman Catholic Diocese of Sisak,Bishop of Sisak
Comarcal Council of Priorat,president of Comarcal Council of Priorat
Legislative Assembly of Pernambuco,president of the Legislative Assembly of Pernambuco
Roman Catholic Diocese of Évry–Corbeil-Essonnes,bishop of Évry-Corbeil-Essonnes
Department for Education and Skills,Cabinet Secretary for Education and Skills
Comarcal Council of Baix Camp,president of Comarcal Council of Baix Camp
Roman Catholic Diocese of Treviso,bishop of Treviso
Legislative Assembly of Minas Gerais,president of the Legislative Assembly of Minas Gerais
Legislative Assembly of Rio Grande do Sul,president of the Legislative Assembly of Rio Grande do Sul
Legislative Assembly of Amapá,president of the Legislative Assembly of Amapá
Roman Catholic Diocese of Varaždin,bishop of Varaždin
