Subject,Object
Chapa Circular,GLAM Museu Paulista
Jogo Padrão,GLAM Museu Paulista
Jogo Padrão,GLAM Museu Paulista
Jogo Padrão,GLAM Museu Paulista
Jogo Padrão,GLAM Museu Paulista
Maçarico,GLAM Museu Paulista
Maçarico,GLAM Museu Paulista
Homenagem Ao Comendador Antonio Devoto,GLAM Museu Paulista
Prêmio Gualco,GLAM Museu Paulista
"Concurso ""Quem Deu Asas Ao Homem""",GLAM Museu Paulista
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",GLAM Museu Paulista
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",GLAM Museu Paulista
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",GLAM Museu Paulista
Medalha Inter Aliados 1914-1918,GLAM Museu Paulista
Homenagem do Aero Club de France A Santos Dumont,GLAM Museu Paulista
Homenagem do Aero Club de France A Santos Dumont,GLAM Museu Paulista
Cinqüentenário do 1º Vôo do 14 Bis de Santos Dumont,GLAM Museu Paulista
Homenagem do Aerolloyd Iguassú A Santos Dumont,GLAM Museu Paulista
Plaqueta em Homenagem A Santos Dumont,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/2,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/6,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/14,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/4,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/5,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/3,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/15,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/19,GLAM Museu Paulista
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/21,GLAM Museu Paulista
