Subject,Object
Siege of Port Hudson,Port Hudson Confederate order of battle
Battle of Shiloh,Shiloh Confederate order of battle
Battle of Rain,Rain order of battle
Second Battle of Corinth,Second Corinth Confederate order of battle
Second Battle of Winchester,Second Winchester Confederate order of battle
Seven Days Battles,Seven Days Confederate order of battle
First Battle of the Marne,Order of battle of the First Battle of the Marne
Second Battle of Deep Bottom,Second Deep Bottom Confederate order of battle
Battle of Richmond,Richmond Confederate order of battle
Battle of Peebles's Farm,Peebles's Farm Confederate Order of Battle
Second Battle of Petersburg,Second Petersburg Union order of battle
Battle of Roanoke Island,Roanoke Island order of battle
