Subject,Object
Copa de la Reina de Fútbol,Royal Spanish Football Federation
Copa Catalunya de futbol femenina,Catalan Football Federation
1966 FIFA World Cup Final,FIFA
1966 FIFA World Cup Final,FIFA
South Korea 2-0 Germany,FIFA
France 2-1 Australia,FIFA
Iran 0-1 Spain,FIFA
South Korea 1-2 Mexico,FIFA
England 6-1 Panama,FIFA
2008 Skate America - ice dancing compulsory dance,U.S. Figure Skating
2009 Skate America - ice dancing compulsory dance,U.S. Figure Skating
2019 CS U.S. International Figure Skating Classic - ice dancing rhythm dance,U.S. Figure Skating
2008 Cup of Russia - ice dancing compulsory dance,Figure Skating Federation of Russia
2009 Rostelecom Cup - ice dancing compulsory dance,Figure Skating Federation of Russia
2000 African Cup of Nations Final,Confederation of African Football
2004 African Cup of Nations Final,Confederation of African Football
ATP Finals,Association of Tennis Professionals
Paris Masters,Association of Tennis Professionals
1989 Cincinnati Open,Association of Tennis Professionals
1990 Thriftway ATP Championships,Association of Tennis Professionals
Qatar Open,Association of Tennis Professionals
Maharashtra Open,Association of Tennis Professionals
Gerry Weber Open,Association of Tennis Professionals
St. Petersburg Open,Association of Tennis Professionals
Taça da Liga,Portuguese League for Professional Football
Ligat Nashim Rishona,Israel Football Association
Finnish League Cup,The Finnish Football League Association
2015 World Championships in Athletics – Men's 100 metres,World Athletics
2009 NHK Trophy - ice dancing compulsory dance,Japan Skating Federation
2012 NHL Entry Draft,National Hockey League
2009 NHL Entry Draft,National Hockey League
1982 NHL Entry Draft,National Hockey League
1980 NHL Entry Draft,National Hockey League
1988 NHL Entry Draft,National Hockey League
1983 NHL Entry Draft,National Hockey League
2003 NHL Entry Draft,National Hockey League
2019 NRW Trophy - senior ice dancing rhythm dance,Deutsche Eislauf-Union
2008 Trophée Eric Bompard - ice dancing compulsory dance,French Federation of Ice Sports
2018-2019 Spanish Figure Skating Championships - senior ice dancing rhythm dance,Spanish Ice Sports Federation
División de Honor Femenina de Rugby,Spanish Rugby Federation
Thai League Cup,Football Association of Thailand
1975 Uber Cup,Badminton World Federation
1981 Uber Cup,Badminton World Federation
1978 Uber Cup,Badminton World Federation
1966 Uber Cup,Badminton World Federation
1963 Uber Cup,Badminton World Federation
10th Chess Olympiad,FIDE
29th Chess Olympiad,FIDE
